reg_id,y_id,x_id,y(center),x(center),hospital
1,1,1,34.6415625,135.441875,0
2,1,2,34.6415625,135.445625,1
3,1,3,34.6415625,135.449375,0
4,1,4,34.6415625,135.453125,0
5,1,5,34.6415625,135.456875,0
6,1,6,34.6415625,135.460625,0
7,1,7,34.6415625,135.464375,0
8,1,8,34.6415625,135.468125,0
9,1,9,34.6415625,135.471875,0
10,1,10,34.6415625,135.475625,0
11,1,11,34.6415625,135.479375,0
12,1,12,34.6415625,135.483125,0
13,1,13,34.6415625,135.486875,0
14,1,14,34.6415625,135.490625,0
15,1,15,34.6415625,135.494375,0
16,1,16,34.6415625,135.498125,0
17,1,17,34.6415625,135.501875,0
18,1,18,34.6415625,135.505625,0
19,1,19,34.6415625,135.509375,0
20,1,20,34.6415625,135.513125,0
21,1,21,34.6415625,135.516875,0
22,1,22,34.6415625,135.520625,0
23,1,23,34.6415625,135.524375,0
24,1,24,34.6415625,135.528125,0
25,1,25,34.6415625,135.531875,0
26,1,26,34.6415625,135.535625,0
27,1,27,34.6415625,135.539375,0
28,1,28,34.6415625,135.543125,0
29,1,29,34.6415625,135.546875,0
30,1,30,34.6415625,135.550625,0
31,1,31,34.6415625,135.554375,0
32,1,32,34.6415625,135.558125,0
33,2,1,34.6446875,135.441875,0
34,2,2,34.6446875,135.445625,0
35,2,3,34.6446875,135.449375,0
36,2,4,34.6446875,135.453125,0
37,2,5,34.6446875,135.456875,0
38,2,6,34.6446875,135.460625,0
39,2,7,34.6446875,135.464375,0
40,2,8,34.6446875,135.468125,0
41,2,9,34.6446875,135.471875,0
42,2,10,34.6446875,135.475625,0
43,2,11,34.6446875,135.479375,1
44,2,12,34.6446875,135.483125,0
45,2,13,34.6446875,135.486875,0
46,2,14,34.6446875,135.490625,0
47,2,15,34.6446875,135.494375,0
48,2,16,34.6446875,135.498125,0
49,2,17,34.6446875,135.501875,0
50,2,18,34.6446875,135.505625,1
51,2,19,34.6446875,135.509375,0
52,2,20,34.6446875,135.513125,0
53,2,21,34.6446875,135.516875,0
54,2,22,34.6446875,135.520625,0
55,2,23,34.6446875,135.524375,0
56,2,24,34.6446875,135.528125,0
57,2,25,34.6446875,135.531875,0
58,2,26,34.6446875,135.535625,0
59,2,27,34.6446875,135.539375,0
60,2,28,34.6446875,135.543125,0
61,2,29,34.6446875,135.546875,0
62,2,30,34.6446875,135.550625,0
63,2,31,34.6446875,135.554375,0
64,2,32,34.6446875,135.558125,0
65,3,1,34.6478125,135.441875,0
66,3,2,34.6478125,135.445625,0
67,3,3,34.6478125,135.449375,0
68,3,4,34.6478125,135.453125,0
69,3,5,34.6478125,135.456875,0
70,3,6,34.6478125,135.460625,0
71,3,7,34.6478125,135.464375,0
72,3,8,34.6478125,135.468125,0
73,3,9,34.6478125,135.471875,0
74,3,10,34.6478125,135.475625,0
75,3,11,34.6478125,135.479375,0
76,3,12,34.6478125,135.483125,0
77,3,13,34.6478125,135.486875,0
78,3,14,34.6478125,135.490625,0
79,3,15,34.6478125,135.494375,0
80,3,16,34.6478125,135.498125,0
81,3,17,34.6478125,135.501875,0
82,3,18,34.6478125,135.505625,0
83,3,19,34.6478125,135.509375,0
84,3,20,34.6478125,135.513125,0
85,3,21,34.6478125,135.516875,0
86,3,22,34.6478125,135.520625,0
87,3,23,34.6478125,135.524375,0
88,3,24,34.6478125,135.528125,0
89,3,25,34.6478125,135.531875,0
90,3,26,34.6478125,135.535625,0
91,3,27,34.6478125,135.539375,0
92,3,28,34.6478125,135.543125,0
93,3,29,34.6478125,135.546875,0
94,3,30,34.6478125,135.550625,0
95,3,31,34.6478125,135.554375,0
96,3,32,34.6478125,135.558125,0
97,4,1,34.6509375,135.441875,0
98,4,2,34.6509375,135.445625,0
99,4,3,34.6509375,135.449375,0
100,4,4,34.6509375,135.453125,0
101,4,5,34.6509375,135.456875,0
102,4,6,34.6509375,135.460625,0
103,4,7,34.6509375,135.464375,0
104,4,8,34.6509375,135.468125,0
105,4,9,34.6509375,135.471875,0
106,4,10,34.6509375,135.475625,0
107,4,11,34.6509375,135.479375,0
108,4,12,34.6509375,135.483125,0
109,4,13,34.6509375,135.486875,0
110,4,14,34.6509375,135.490625,0
111,4,15,34.6509375,135.494375,0
112,4,16,34.6509375,135.498125,0
113,4,17,34.6509375,135.501875,0
114,4,18,34.6509375,135.505625,0
115,4,19,34.6509375,135.509375,0
116,4,20,34.6509375,135.513125,0
117,4,21,34.6509375,135.516875,0
118,4,22,34.6509375,135.520625,0
119,4,23,34.6509375,135.524375,0
120,4,24,34.6509375,135.528125,0
121,4,25,34.6509375,135.531875,0
122,4,26,34.6509375,135.535625,0
123,4,27,34.6509375,135.539375,0
124,4,28,34.6509375,135.543125,0
125,4,29,34.6509375,135.546875,0
126,4,30,34.6509375,135.550625,0
127,4,31,34.6509375,135.554375,0
128,4,32,34.6509375,135.558125,0
129,5,1,34.6540625,135.441875,0
130,5,2,34.6540625,135.445625,0
131,5,3,34.6540625,135.449375,0
132,5,4,34.6540625,135.453125,0
133,5,5,34.6540625,135.456875,0
134,5,6,34.6540625,135.460625,0
135,5,7,34.6540625,135.464375,0
136,5,8,34.6540625,135.468125,0
137,5,9,34.6540625,135.471875,0
138,5,10,34.6540625,135.475625,0
139,5,11,34.6540625,135.479375,0
140,5,12,34.6540625,135.483125,0
141,5,13,34.6540625,135.486875,0
142,5,14,34.6540625,135.490625,0
143,5,15,34.6540625,135.494375,0
144,5,16,34.6540625,135.498125,0
145,5,17,34.6540625,135.501875,0
146,5,18,34.6540625,135.505625,0
147,5,19,34.6540625,135.509375,1
148,5,20,34.6540625,135.513125,0
149,5,21,34.6540625,135.516875,0
150,5,22,34.6540625,135.520625,1
151,5,23,34.6540625,135.524375,0
152,5,24,34.6540625,135.528125,1
153,5,25,34.6540625,135.531875,0
154,5,26,34.6540625,135.535625,0
155,5,27,34.6540625,135.539375,0
156,5,28,34.6540625,135.543125,0
157,5,29,34.6540625,135.546875,0
158,5,30,34.6540625,135.550625,0
159,5,31,34.6540625,135.554375,0
160,5,32,34.6540625,135.558125,0
161,6,1,34.6571875,135.441875,0
