user_id,time_id,reg_id
1,1,944
1,2,1008
1,3,689
1,4,656
1,5,594
1,6,912
1,7,816
1,8,721
1,9,816
1,10,847
1,11,913
1,12,945
1,13,1008
1,14,944
1,15,689
1,16,848
1,17,689
1,18,848
1,19,848
1,20,848
1,21,784
1,22,1008
1,23,848
1,24,624
1,25,624
1,26,624
1,27,624
1,28,624
1,29,624
1,30,689
1,31,529
1,32,595
1,33,529
1,34,594
1,35,599
1,36,593
1,37,689
1,38,944
1,39,880
1,40,779
2,1,369
2,2,337
2,3,337
2,4,337
2,5,305
2,6,267
2,7,234
2,8,233
2,9,234
2,10,234
2,11,301
2,12,238
2,13,238
2,14,238
2,15,238
2,16,365
2,17,367
2,18,369
2,19,369
2,20,369
2,21,305
2,22,561
2,23,599
2,24,599
2,25,595
2,26,595
2,27,593
2,28,529
2,29,593
2,30,624
2,31,596
2,32,635
2,33,598
2,34,600
2,35,594
2,36,595
2,37,595
2,38,593
2,39,596
2,40,598
3,1,689
3,2,912
3,3,1007
3,4,1006
3,5,1006
3,6,1007
3,7,1008
3,8,944
3,9,785
3,10,848
3,11,753
3,12,785
3,13,848
3,14,944
3,15,784
3,16,816
3,17,1008
3,18,1008
3,19,1008
3,20,1009
3,21,785
3,22,721
3,23,689
3,24,752
3,25,912
3,26,721
3,27,945
3,28,753
3,29,753
3,30,944
3,31,912
3,32,944
3,33,848
3,34,846
3,35,816
3,36,785
3,37,912
3,38,912
3,39,975
3,40,976
4,1,621
4,2,555
4,3,755
4,4,529
4,5,553
4,6,555
4,7,624
4,8,624
4,9,657
4,10,722
4,11,453
4,12,386
4,13,523
4,14,490
4,15,428
4,16,490
4,17,454
4,18,490
4,19,424
4,20,623
4,21,621
4,22,653
4,23,556
4,24,624
4,25,690
4,26,366
4,27,301
4,28,301
4,29,336
4,30,367
4,31,430
4,32,429
4,33,208
4,34,177
4,35,273
4,36,497
4,37,657
4,38,337
4,39,433
4,40,752
5,1,709
5,2,708
5,3,554
5,4,433
5,5,429
5,6,460
5,7,464
5,8,464
5,9,464
5,10,394
5,11,394
5,12,362
5,13,430
5,14,497
5,15,497
5,16,431
5,17,784
5,18,689
5,19,433
5,20,430
5,21,770
5,22,492
5,23,522
5,24,366
5,25,368
5,26,396
5,27,433
5,28,329
5,29,331
5,30,395
5,31,271
5,32,301
5,33,333
5,34,333
5,35,269
5,36,266
5,37,302
5,38,299
5,39,234
5,40,267
6,1,695
6,2,632
6,3,637
6,4,598
6,5,632
6,6,632
6,7,664
6,8,695
6,9,728
6,10,694
6,11,725
6,12,693
6,13,694
6,14,700
6,15,697
6,16,727
6,17,694
6,18,695
6,19,695
6,20,695
6,21,664
6,22,694
6,23,695
6,24,694
6,25,698
6,26,728
6,27,695
6,28,725
6,29,728
6,30,727
6,31,694
6,32,694
6,33,694
6,34,727
6,35,727
6,36,697
6,37,695
6,38,695
6,39,695
6,40,695
7,1,306
7,2,306
7,3,306
7,4,305
7,5,306
7,6,274
7,7,146
7,8,25
7,9,21
7,10,21
7,11,147
7,12,83
7,13,114
7,14,243
7,15,146
7,16,117
7,17,57
7,18,117
7,19,174
7,20,174
7,21,337
7,22,337
7,23,175
7,24,111
7,25,205
7,26,206
7,27,238
7,28,206
7,29,240
7,30,273
7,31,178
7,32,243
7,33,308
7,34,308
7,35,305
7,36,275
7,37,242
7,38,278
7,39,280
7,40,281
8,1,168
8,2,138
8,3,200
8,4,140
8,5,389
8,6,609
8,7,514
8,8,294
8,9,326
8,10,420
8,11,578
8,12,420
8,13,546
8,14,389
8,15,326
8,16,386
8,17,386
8,18,386
8,19,386
8,20,419
8,21,108
8,22,200
8,23,609
8,24,483
8,25,419
8,26,387
8,27,419
8,28,326
8,29,326
8,30,326
8,31,326
8,32,578
8,33,358
8,34,326
8,35,452
8,36,326
8,37,138
8,38,137
8,39,200
8,40,231
9,1,405
9,2,469
9,3,501
9,4,405
9,5,371
9,6,437
9,7,475
9,8,442
9,9,437
9,10,439
9,11,666
9,12,637
9,13,535
9,14,438
9,15,439
9,16,438
9,17,502
9,18,341
9,19,373
9,20,410
9,21,405
9,22,406
9,23,441
9,24,413
9,25,437
9,26,636
9,27,634
9,28,765
9,29,894
9,30,889
9,31,657
9,32,784
9,33,848
9,34,912
9,35,912
9,36,785
9,37,880
9,38,945
9,39,945
9,40,945
10,1,596
10,2,594
10,3,500
10,4,439
10,5,413
10,6,436
10,7,468
10,8,500
10,9,634
10,10,600
10,11,598
10,12,599
10,13,602
10,14,600
10,15,596
10,16,635
10,17,636
10,18,636
10,19,640
10,20,640
10,21,596
10,22,565
10,23,599
10,24,596
10,25,602
10,26,598
10,27,600
10,28,536
10,29,536
10,30,600
10,31,596
10,32,565
10,33,594
10,34,624
10,35,272
