poi_id,y,x,category,y_id,x_id,2D_id,count
0,35.67334011,139.70918509,arts_entertainment/Art Gallery/4,7,7,231,3
1,35.66943866,139.70700581,food/Japanese Restaurant/3,6,7,199,2
2,35.72355807,139.73582609,home/departure/8,23,14,750,2
3,35.73211725,139.76670384,travel/Train Station/2,26,23,855,60
4,35.67317337,139.73639756,building/Building/7,7,15,239,6
5,35.690062,139.694569,travel/Hotel/4,12,3,387,25
6,35.6985962,139.77301825,travel/Train Station/2,15,24,504,2101
7,35.68622615,139.69496816,building/Building/7,11,3,355,3
8,35.68534383,139.69446659,education/University/6,11,3,355,1
9,35.69896121,139.70870322,home/departure/8,15,7,487,2
10,35.66334661,139.76620675,home/departure/8,4,22,150,2
11,35.67022307,139.74210262,travel/Bus Station/2,6,16,208,2
12,35.67716067,139.73611325,food/Japanese Restaurant/3,8,14,270,1
13,35.68137872,139.76608157,travel/Train Station/2,10,22,342,999
14,35.69541189,139.74903256,home/departure/8,14,18,466,2
15,35.74845839,139.70307648,nightlife/Sake Bar/3,31,6,998,1
16,35.69080269,139.70027923,travel/Train Station/2,13,5,421,1802
17,35.72160867,139.7812621,home/departure/8,22,27,731,2
18,35.73302705,139.79878418,travel/Train Station/2,26,31,863,4
19,35.71322509,139.77627812,travel/Train Station/2,20,25,665,22
20,35.73703553,139.68232506,home/departure/8,27,0,864,1
21,35.70305806,139.77466196,building/Office/7,16,25,537,2
22,35.70054015,139.7746861,shops/Miscellaneous Shop/1,16,25,537,3
23,35.65594722,139.79409993,building/Gym or Fitness Center/4,1,30,62,2
24,35.66730139,139.7400177,building/Building/7,5,16,176,3
25,35.69670866,139.68220085,food/Bakery/5,14,0,448,4
26,35.6964122,139.68262037,shops/Electronics Store/1,14,0,448,1
27,35.73009189,139.71312993,shops/Smoke Shop/1,25,8,808,2
28,35.659484,139.700207,travel/Train Station/2,3,5,101,3
29,35.676376,139.778749,parks_outdoors/Bridge/2,8,26,282,6
30,35.70072311,139.77241695,food/Coffee Shop/3,16,24,536,14
31,35.702139,139.771766,food/Burger Joint/3,16,24,536,9
32,35.70098667,139.77104634,shops/Hardware Store/1,16,24,536,17
33,35.67352199,139.76273417,shops/Department Store/1,7,22,246,9
34,35.651454,139.696006,food/Asian Restaurant/3,0,4,4,3
35,35.6679632,139.73983209,home/departure/8,5,15,175,2
36,35.66531583,139.71184731,food/Coffee Shop/3,4,8,136,2
37,35.70060113,139.75605011,education/General College & University/6,16,20,532,3
38,35.70146,139.753652,food/Ramen or Noodle House/3,16,19,531,2
39,35.702002,139.754315,travel/Train Station/2,16,19,531,111
40,35.65856462,139.74547684,parks_outdoors/Scenic Lookout/4,2,17,81,67
41,35.69183137,139.70177695,shops/Electronics Store/1,13,5,421,2
42,35.68955056,139.70808417,food/Restaurant/3,12,7,391,2
43,35.6916876,139.77088004,travel/Train Station/2,13,24,440,50
44,35.68279486,139.68687326,building/Office/7,10,1,321,15
45,35.70431699,139.75453198,food/Food Court/3,17,19,563,1
46,35.73125286,139.70697373,shops/Sporting Goods Shop/1,26,7,839,2
47,35.65852173,139.70132603,travel/Train Station/2,2,5,69,754
48,35.66994098,139.68941281,home/departure/8,6,2,194,2
49,35.69776076,139.77146745,arts_entertainment/Arcade/4,15,24,504,11
50,35.70073836,139.77188319,arts_entertainment/Arcade/4,16,24,536,72
51,35.688137,139.699864,travel/Train Station/2,12,5,389,4
52,35.69129549,139.7354722,travel/Train Station/2,13,14,430,38
53,35.69256767,139.73539308,food/Fast Food Restaurant/3,13,14,430,3
54,35.706356,139.6843,travel/Train Station/2,18,1,577,20
55,35.67279071,139.6939959,home/departure/8,7,3,227,2
56,35.71093712,139.79649174,parks_outdoors/Other Great Outdoors/4,19,31,639,3
57,35.67272275,139.752303,home/departure/8,7,19,243,2
58,35.65956999,139.7775862,food/Coffee Shop/3,3,26,122,1
59,35.67078743,139.76526082,food/Japanese Restaurant/3,6,22,214,3
60,35.72387629,139.69703264,home/departure/8,23,4,740,2
61,35.69340852,139.73565996,building/Office/7,13,14,430,1
62,35.71290244,139.70389724,travel/Train Station/2,20,6,646,186
63,35.7298267,139.71569359,arts_entertainment/Movie Theater/4,25,9,809,13
64,35.69971897,139.76447493,travel/Train Station/2,15,22,502,46
65,35.69712036,139.76113558,education/College Library/6,15,21,501,2
66,35.68137436,139.76778209,travel/Train Station/2,10,23,343,24
67,35.70077757,139.77066278,food/Ramen or Noodle House/3,16,24,536,16
68,35.66077923,139.73636755,home/departure/8,3,15,111,2
69,35.68997971,139.70543146,arts_entertainment/Movie Theater/4,12,6,390,64
70,35.65056645,139.740512,home/departure/8,0,16,16,2
71,35.68205847,139.78602648,travel/Train Station/2,10,28,348,14
72,35.68288963,139.73831266,food/Ramen or Noodle House/3,10,15,335,2
73,35.70074054,139.77187514,arts_entertainment/Concert Hall/4,16,24,536,72
74,35.68599259,139.77477645,home/departure/8,11,25,377,2
75,35.670756,139.76061,building/Event Space/4,6,21,213,1
76,35.69870278,139.75849202,food/Indian Restaurant/3,15,20,500,2
77,35.69668688,139.76013511,food/Ramen or Noodle House/3,14,21,469,7
78,35.66775205,139.74024653,food/Sandwich Place/3,5,16,176,3
79,35.68783609,139.73075151,building/Gym/4,12,13,397,1
80,35.70655911,139.79473229,home/departure/8,18,30,606,2
81,35.65897185,139.70281206,Arts & Entertainment/Theater/4,2,6,70,4
82,35.69361124,139.6946847,shops/Miscellaneous Shop/1,13,3,419,1
83,35.68988,139.702266,arts_entertainment/Arcade/4,12,5,389,113
84,35.65028555,139.7415455,home/arrival/8,0,16,16,1
85,35.71429612,139.70279211,food/Japanese Restaurant/3,20,6,646,1
86,35.70173813,139.76911515,food/Chinese Restaurant/3,16,23,535,6
87,35.70602962,139.77438094,food/Ramen or Noodle House/3,17,25,569,1
88,35.71464891,139.70843716,home/departure/8,20,7,647,2
89,35.68112599,139.76699889,food/Japanese Restaurant/3,9,23,311,2
90,35.66177784,139.71525909,home/departure/8,3,9,105,2
91,35.6897183,139.69925165,travel/Train Station/2,12,5,389,99
92,35.67719009,139.78280514,food/Steakhouse/3,8,27,283,1
93,35.65513431,139.79300022,shops/Mall/1,1,30,62,42
94,35.69316294,139.69526803,food/Indian Restaurant/3,13,4,420,1
95,35.6653507,139.76096928,food/Asian Restaurant/3,4,21,149,3
96,35.67020777,139.75950024,food/Japanese Restaurant/3,6,21,213,1
97,35.65383341,139.69080806,home/departure/8,1,2,34,2
98,35.731982,139.709348,food/Japanese Restaurant/3,26,7,839,2
99,35.68796152,139.68857755,home/departure/8,12,2,386,2
100,35.66006724,139.69597533,food/Brazilian Restaurant/,3,4,100,2
101,35.69716,139.78545,food/Eastern European Restaurant/,15,28,508,1
102,35.708753,139.70916514,Food/Ramen / Noodle House/3,18,7,583,1
103,35.744092,139.68072033,home/arrival/8,30,0,960,1
104,35.67788403,139.70968008,building/Religious Center/7,8,7,263,1
105,35.70293609,139.75469291,food/Coffee Shop/3,16,19,531,7
106,35.69851878,139.77568388,food/Ramen or Noodle House/3,15,25,505,9
107,35.65788176,139.70052006,home/departure/8,2,5,69,2
108,35.65900484,139.69533026,nightlife/Nightclub/3,2,4,68,32
109,35.69297456,139.78510379,home/departure/8,13,28,444,2
110,35.6753998,139.7681837,food/Ramen or Noodle House/3,8,23,279,2
111,35.67226694,139.7657758,shops/Electronics Store/1,7,22,246,26
112,35.67904674,139.69989899,home/departure/8,9,5,293,2
113,35.65718074,139.70375642,food/Indian Restaurant/3,2,6,70,2
114,35.66732496,139.77718592,building/Hospital/7,5,25,185,4
115,35.666979,139.757782,food/Steakhouse/3,5,20,180,1
116,35.69024548,139.70205054,nightlife/Pub/3,12,5,389,5
117,35.7130539,139.691723,home/arrival/8,20,3,643,1
118,35.6583555,139.698696,food/Spanish Restaurant/3,2,4,68,3
119,35.66966583,139.7193517,home/departure/8,6,10,202,2
120,35.69661152,139.7541948,education/University/6,14,19,467,1
121,35.66355944,139.72901881,food/Ramen or Noodle House/3,4,13,141,6
122,35.65956273,139.72934604,arts_entertainment/Movie Theater/4,3,13,109,26
123,35.65547253,139.70361945,home/departure/8,1,6,38,2
124,35.67382268,139.68717098,food/Indian Restaurant/3,7,1,225,2
125,35.71605033,139.79862671,home/departure/8,21,31,703,2
126,35.69656926,139.69786495,food/Ramen or Noodle House/3,14,4,452,2
127,35.6811404,139.72281053,home/departure/8,9,11,299,2
128,35.70355041,139.7451641,food/Fast Food Restaurant/3,17,17,561,1
129,35.66453237,139.7312716,Food/Indian Restaurant/3,4,13,141,1
130,35.67883833,139.76793766,food/Korean Restaurant/3,9,23,311,1
131,35.65575189,139.70822609,home/departure/8,1,7,39,2
132,35.65895035,139.69656676,food/Indian Restaurant/3,2,4,68,6
133,35.70202235,139.75293032,travel/Train Station/2,16,19,531,9
134,35.70558461,139.75190878,arts_entertainment/Baseball Stadium/4,17,19,563,228
135,35.6568691,139.75936532,building/Office/7,2,21,85,2
136,35.70544631,139.75310639,arts_entertainment/History Museum/4,17,19,563,5
137,35.68308597,139.70310423,home/departure/8,10,6,326,2
138,35.72018048,139.68141781,home/departure/8,22,0,704,1
139,35.73070342,139.71132129,parks_outdoors/Sculpture Garden/4,25,8,808,2
140,35.730184,139.7148494,arts_entertainment/Bowling Alley/4,25,9,809,2
141,35.69660193,139.68392015,food/Diner/3,14,1,449,1
142,35.74084312,139.74686833,home/departure/8,29,17,945,2
143,35.68428,139.737595,Food/Chinese Restaurant/3,10,15,335,1
144,35.69317987,139.72876523,home/arrival/8,13,13,429,1
145,35.67659861,139.77747636,food/Japanese Restaurant/3,8,25,281,3
146,35.67525638,139.78197098,shops/Convenience Store/1,8,27,283,5
147,35.68359659,139.70139205,food/Ramen or Noodle House/3,10,5,325,3
148,35.68353338,139.70159537,arts_entertainment/Arcade/4,10,5,325,3
149,35.72907751,139.70956909,arts_entertainment/Movie Theater/4,25,7,807,2
150,35.65558461,139.70084244,building/Gym/4,1,5,37,1
151,35.70170845,139.71626047,building/Hospital/7,16,9,521,4
152,35.716132,139.78194111,home/departure/8,21,27,699,2
153,35.72986464,139.71095557,travel/Train Station/2,25,8,808,936
154,35.699025,139.696572,food/Ramen or Noodle House/3,15,4,484,1
155,35.69651044,139.77115095,food/Steakhouse/3,14,24,472,20
156,35.67326466,139.73818928,nightlife/Sake Bar/3,7,15,239,1
157,35.66808654,139.71667789,home/departure/8,5,9,169,2
158,35.659981,139.6953196,food/Ramen or Noodle House/3,3,4,100,4
159,35.66417855,139.70272729,shops/Sporting Goods Shop/1,4,6,134,2
160,35.65299843,139.77514423,home/departure/8,0,25,25,2
161,35.71013951,139.71672091,education/College Academic Building/6,19,9,617,1
162,35.668432,139.706661,food/Japanese Restaurant/3,5,7,167,4
163,35.66695983,139.7070108,shops/Shoe Store/1,5,7,167,1
164,35.66258557,139.69490407,food/Brewery/4,4,3,131,5
165,35.68326417,139.70276992,home/departure/8,10,6,326,1
166,35.65810438,139.74350015,home/departure/8,2,16,80,2
167,35.67166555,139.76653218,food/Coffee Shop/3,6,23,215,4
168,35.69081829,139.70217379,food/Caf?/3,13,5,421,3
169,35.67260206,139.73638274,food/Japanese Restaurant/3,7,15,239,1
170,35.66262539,139.71804109,home/departure/8,4,10,138,2
171,35.687569,139.702199,Food/Italian Restaurant/3,12,5,389,1
172,35.68007444,139.74893728,home/departure/8,9,18,306,2
173,35.65735346,139.70421173,food/Chinese Restaurant/3,2,6,70,1
174,35.69596587,139.75806713,travel/Train Station/2,14,20,468,65
175,35.67312933,139.78899511,home/departure/8,7,29,253,2
176,35.71055471,139.760288,education/College Academic Building/6,19,21,629,11
177,35.70150071,139.77119654,food/Italian Restaurant/3,16,24,536,37
178,35.66058071,139.71078368,home/departure/8,3,8,104,2
179,35.657067,139.695879,nightlife/Nightclub/3,2,4,68,24
180,35.65981771,139.7003755,shops/Video Store/1,3,5,101,28
181,35.68068,139.75995,parks_outdoors/Garden/4,9,21,309,3
182,35.66274151,139.734148,food/Ramen or Noodle House/3,4,14,142,5
183,35.68969869,139.69736606,shops/Video Game Store/1,12,4,388,9
184,35.70526662,139.71877813,education/College Library/6,17,10,554,2
185,35.705951,139.717834,education/University/6,17,10,554,4
186,35.69318814,139.7255098,home/departure/8,13,12,428,1
187,35.70277724,139.77067007,food/Ramen or Noodle House/3,16,24,536,1
188,35.70259001,139.69512623,home/departure/8,16,4,516,1
189,35.69745363,139.77883816,food/Ramen or Noodle House/3,15,26,506,6
190,35.69781522,139.77377415,food/Coffee Shop/3,15,25,505,6
191,35.65564764,139.73593636,food/BBQ Joint/3,1,14,46,2
192,35.66578652,139.73096073,shops/Mall/1,5,13,173,107
193,35.66484514,139.76025045,building/Event Space/4,4,21,149,1
194,35.67879912,139.76519108,nightlife/Jazz Club/3,9,22,310,14
195,35.69681955,139.70919051,home/departure/8,14,7,455,2
196,35.68114148,139.7632288,food/Coffee Shop/3,9,22,310,2
197,35.66534634,139.70002413,education/College Arts Building/,4,5,133,3
198,35.71024109,139.71848845,education/College Academic Building/6,19,10,618,3
199,35.69194843,139.73598126,shops/Pet Store/,13,14,430,2
200,35.69924631,139.77215409,food/Coffee Shop/3,15,24,504,14
201,35.65861423,139.72892743,home/departure/8,2,13,77,2
202,35.66536813,139.72637415,arts_entertainment/Art Museum/4,4,12,140,75
203,35.69005706,139.69741197,shops/Bookstore/1,12,4,388,12
204,35.729357,139.71689998,shops/Bike Shop/1,25,9,809,2
205,35.66316609,139.68277484,food/Burger Joint/3,4,0,128,2
206,35.66669205,139.75813274,travel/Train Station/2,5,20,180,173
207,35.66218219,139.76014853,building/Building/7,3,21,117,1
208,35.73003573,139.7151196,arts_entertainment/Bowling Alley/4,25,9,809,122
209,35.67210569,139.71232206,shops/Bike Shop/1,7,8,232,8
210,35.72034077,139.68615573,home/departure/8,22,1,705,1
211,35.69444759,139.76618081,arts_entertainment/Art Gallery/4,14,22,470,1
212,35.67056018,139.70281704,travel/Train Station/2,6,6,198,11
213,35.67007472,139.68677126,home/departure/8,6,1,193,2
214,35.70042688,139.77175176,shops/Bookstore/1,16,24,536,37
215,35.65034926,139.73891995,home/arrival/8,0,15,15,1
216,35.65907457,139.68389869,education/College Academic Building/6,2,1,65,5
217,35.66454453,139.69399368,home/departure/8,4,3,131,2
218,35.66203836,139.70257759,food/Caf?/3,3,6,102,3
219,35.67387253,139.70287713,home/departure/8,7,6,230,2
220,35.66338074,139.71048743,nightlife/Bar/3,4,8,136,2
221,35.660132,139.69929698,shops/Mall/1,3,5,101,7
222,35.67160236,139.70288336,Travel & Transport/Train Station/2,6,6,198,18
223,35.66893085,139.70560454,arts_entertainment/Theater/4,6,6,198,18
224,35.688935,139.71024,food/Coffee Shop/3,12,8,392,1
225,35.69246747,139.70337689,shops/Hobby Shop/1,13,6,422,31
226,35.69236726,139.70470458,shops/Department Store/1,13,6,422,12
227,35.66297542,139.69719172,food/Ramen or Noodle House/3,4,4,132,12
228,35.65901573,139.69684571,food/Ramen or Noodle House/3,2,4,68,14
229,35.66649077,139.77962436,home/departure/8,5,26,186,2
230,35.66255468,139.71229868,food/Caf?/3,4,8,136,2
231,35.66654485,139.6969986,arts_entertainment/Concert Hall/4,5,4,164,76
232,35.699774,139.782457,parks_outdoors/Playground/4,15,27,507,1
233,35.69226923,139.77176785,food/Japanese Restaurant/3,13,24,440,2
234,35.71844866,139.75019867,home/departure/8,21,18,690,1
235,35.69901542,139.77462173,shops/Electronics Store/1,15,25,505,236
236,35.70152903,139.77115631,food/Coffee Shop/3,16,24,536,26
237,35.69939898,139.70866167,home/departure/8,15,7,487,2
238,35.70138527,139.77089345,food/Middle Eastern Restaurant/3,16,24,536,8
239,35.68773152,139.70220208,food/French Restaurant/3,12,5,389,1
240,35.69414262,139.68766987,food/Coffee Shop/3,14,2,450,3
241,35.67901253,139.77830098,home/departure/8,9,26,314,2
242,35.66434176,139.76223797,building/Office/7,4,21,149,4
243,35.71053784,139.69305949,home/departure/8,19,3,611,2
244,35.67662226,139.76099891,arts_entertainment/Theater/4,8,21,277,5
