user_id,time_id,reg_id
1,1,108
1,2,103
1,3,137
1,4,170
1,5,236
1,6,337
1,7,402
1,8,467
1,9,470
1,10,506
1,11,602
1,12,862
1,13,667
1,14,602
1,15,433
1,16,427
1,17,390
1,18,791
1,19,841
1,20,842
1,21,843
1,22,843
1,23,782
1,24,719
1,25,719
1,26,688
1,27,688
1,28,626
1,29,595
1,30,596
1,31,597
1,32,598
1,33,566
1,34,567
1,35,506
2,1,91
2,2,152
2,3,118
2,4,86
2,5,52
2,6,506
2,7,538
2,8,570
2,9,602
2,10,602
2,11,602
2,12,634
2,13,667
2,14,699
2,15,700
2,16,700
2,17,732
2,18,732
2,19,733
2,20,733
2,21,702
2,22,702
2,23,703
2,24,703
2,25,164
2,26,165
2,27,166
2,28,199
2,29,169
2,30,170
2,31,203
2,32,236
2,33,237
2,34,270
2,35,271
3,1,508
3,2,508
3,3,508
3,4,507
3,5,507
3,6,506
3,7,506
3,8,506
3,9,505
3,10,505
3,11,504
3,12,504
3,13,536
3,14,535
3,15,535
3,16,535
3,17,598
3,18,596
3,19,817
3,20,481
3,21,421
3,22,454
3,23,323
3,24,182
3,25,479
3,26,479
3,27,479
3,28,478
3,29,477
3,30,477
3,31,476
3,32,476
3,33,475
3,34,475
3,35,474
4,1,444
4,2,444
4,3,444
4,4,477
4,5,509
4,6,509
4,7,509
4,8,509
4,9,542
4,10,542
4,11,542
4,12,542
4,13,542
4,14,574
4,15,574
4,16,575
4,17,607
4,18,602
4,19,875
4,20,842
4,21,841
4,22,809
4,23,777
4,24,777
4,25,745
4,26,713
4,27,681
4,28,649
4,29,584
4,30,520
4,31,520
4,32,456
4,33,424
4,34,423
4,35,390
5,1,670
5,2,638
5,3,637
5,4,635
5,5,634
5,6,602
5,7,602
5,8,601
5,9,599
5,10,598
5,11,598
5,12,598
5,13,597
5,14,596
5,15,594
5,16,562
5,17,562
5,18,561
5,19,561
5,20,528
5,21,695
5,22,695
5,23,695
5,24,695
5,25,695
5,26,695
