user_id,time_id,reg_id
1,1,45
1,2,132
1,3,101
1,4,104
1,5,203
1,6,238
1,7,271
1,8,304
1,9,336
1,10,472
1,11,667
1,12,733
1,13,830
1,14,765
1,15,506
1,16,471
1,17,468
1,18,430
1,19,424
1,20,323
1,21,257
1,22,32
1,23,841
1,24,841
1,25,812
1,26,813
1,27,781
1,28,750
1,29,657
1,30,626
1,31,596
1,32,535
1,33,536
1,34,505
1,35,506
2,1,29
2,2,60
2,3,122
2,4,185
2,5,20
2,6,506
2,7,506
2,8,538
2,9,538
2,10,570
2,11,634
2,12,635
2,13,667
2,14,701
2,15,703
2,16,703
2,17,142
2,18,161
2,19,161
2,20,162
2,21,162
2,22,163
2,23,163
2,24,165
2,25,198
2,26,167
2,27,168
2,28,168
2,29,169
2,30,202
2,31,202
2,32,203
2,33,237
2,34,238
2,35,271
3,1,508
3,2,508
3,3,507
3,4,507
3,5,506
3,6,506
3,7,505
3,8,505
3,9,536
3,10,536
3,11,567
3,12,567
3,13,566
3,14,566
3,15,566
3,16,566
3,17,598
3,18,598
3,19,597
3,20,597
3,21,597
3,22,597
3,23,596
3,24,596
3,25,451
3,26,475
3,27,478
3,28,478
3,29,478
3,30,477
3,31,476
3,32,476
3,33,475
3,34,475
3,35,474
4,1,443
4,2,443
4,3,444
4,4,476
4,5,476
4,6,476
4,7,476
4,8,477
4,9,477
4,10,477
4,11,509
4,12,509
4,13,509
4,14,509
4,15,541
4,16,542
4,17,542
4,18,574
4,19,574
4,20,575
4,21,575
4,22,575
4,23,607
4,24,607
4,25,875
4,26,875
4,27,842
4,28,713
4,29,649
4,30,616
4,31,584
4,32,552
4,33,488
4,34,391
4,35,390
5,1,670
5,2,638
5,3,638
5,4,637
5,5,637
5,6,636
5,7,636
5,8,635
5,9,634
5,10,602
5,11,601
5,12,600
5,13,600
5,14,599
5,15,597
5,16,596
5,17,596
5,18,595
5,19,595
5,20,594
5,21,561
5,22,528
5,23,559
5,24,559
5,25,695
5,26,695
5,27,695
5,28,695
5,29,695
5,30,695
5,31,695
5,32,695
5,33,695
5,34,695
5,35,695
6,1,343
6,2,695
