user_id,time_id,reg_id
1,1,193
1,2,626
1,3,137
1,4,28
1,5,236
1,6,337
1,7,402
1,8,90
1,9,163
1,10,366
1,11,195
1,12,574
1,13,667
1,14,851
1,15,433
1,16,554
1,17,192
1,18,394
1,19,841
1,20,842
1,21,739
1,22,979
1,23,44
1,24,585
1,25,848
1,26,874
1,27,688
1,28,626
1,29,595
1,30,851
1,31,597
1,32,198
1,33,964
1,34,358
1,35,585
2,1,47
2,2,577
2,3,789
2,4,86
2,5,668
2,6,1009
2,7,665
2,8,570
2,9,724
2,10,602
2,11,236
2,12,894
2,13,16
2,14,8
2,15,700
2,16,700
2,17,565
2,18,732
2,19,733
2,20,298
2,21,702
2,22,416
2,23,703
2,24,438
2,25,596
2,26,165
2,27,189
2,28,589
2,29,189
2,30,170
2,31,362
2,32,545
2,33,333
2,34,945
2,35,435
3,1,887
3,2,508
3,3,508
3,4,750
3,5,164
3,6,506
3,7,921
3,8,93
3,9,669
3,10,634
3,11,858
3,12,487
3,13,669
3,14,95
3,15,535
3,16,876
3,17,208
3,18,974
3,19,543
3,20,485
3,21,421
3,22,952
3,23,239
3,24,423
3,25,179
3,26,479
3,27,887
3,28,415
3,29,477
3,30,478
3,31,63
3,32,349
3,33,862
3,34,107
3,35,894
4,1,487
4,2,444
4,3,924
4,4,584
4,5,1021
4,6,509
4,7,509
4,8,928
4,9,592
4,10,542
4,11,676
4,12,673
4,13,915
4,14,613
4,15,574
4,16,575
4,17,607
4,18,602
4,19,875
4,20,824
4,21,366
4,22,386
4,23,799
4,24,777
4,25,745
4,26,433
4,27,981
4,28,397
4,29,584
4,30,740
4,31,520
4,32,749
4,33,150
4,34,830
4,35,664
5,1,391
5,2,638
5,3,637
5,4,635
5,5,634
5,6,602
5,7,602
5,8,615
5,9,395
5,10,598
5,11,598
5,12,978
5,13,407
5,14,596
5,15,594
5,16,659
5,17,562
5,18,426
5,19,982
5,20,806
5,21,695
5,22,301
5,23,481
5,24,781
5,25,695
5,26,695
5,27,695
5,28,291
5,29,462
5,30,408
5,31,50
5,32,1008
5,33,424
5,34,139
5,35,383
6,1,661
6,2,552
6,3,756
6,4,756
6,5,125
6,6,495
6,7,756
6,8,671
6,9,756
6,10,756
6,11,745
6,12,756
6,13,509
6,14,345
6,15,917
6,16,756
6,17,756
6,18,646
6,19,699
6,20,893
6,21,927
6,22,756
6,23,756
6,24,477
6,25,952
6,26,953
6,27,392
6,28,904
6,29,513
6,30,154
6,31,291
6,32,460
6,33,382
6,34,919
6,35,909
7,1,161
7,2,972
7,3,5
7,4,71
7,5,71
7,6,319
7,7,71
7,8,950
7,9,778
7,10,71
7,11,71
7,12,72
7,13,167
7,14,753
7,15,89
7,16,939
7,17,427
7,18,852
7,19,803
7,20,890
7,21,254
7,22,377
7,23,737
7,24,5
7,25,297
7,26,453
7,27,132
7,28,445
7,29,217
7,30,750
7,31,47
7,32,872
7,33,422
7,34,3
7,35,722
8,1,471
8,2,36
8,3,197
8,4,567
8,5,908
8,6,34
8,7,991
8,8,134
8,9,987
8,10,460
8,11,780
8,12,417
8,13,493
8,14,4
8,15,434
8,16,667
8,17,821
8,18,674
8,19,594
8,20,831
8,21,58
8,22,555
8,23,240
8,24,142
8,25,183
8,26,170
8,27,50
8,28,484
8,29,211
8,30,987
8,31,564
8,32,530
8,33,207
8,34,87
8,35,736
9,1,853
9,2,887
9,3,543
9,4,149
9,5,182
9,6,818
9,7,351
9,8,742
9,9,415
9,10,644
9,11,337
9,12,697
9,13,409
9,14,261
9,15,86
9,16,838
9,17,136
9,18,870
9,19,1000
9,20,903
9,21,755
9,22,845
9,23,579
9,24,409
9,25,904
9,26,263
9,27,89
9,28,874
9,29,442
9,30,43
9,31,905
9,32,896
9,33,842
9,34,177
9,35,177
10,1,311
10,2,637
10,3,101
10,4,199
10,5,813
10,6,190
10,7,477
10,8,505
10,9,506
10,10,333
10,11,278
10,12,506
10,13,484
10,14,373
10,15,530
10,16,537
10,17,670
10,18,408
10,19,338
10,20,717
10,21,754
10,22,60
10,23,843
10,24,803
10,25,365
10,26,834
10,27,953
10,28,777
10,29,816
10,30,176
10,31,527
10,32,602
10,33,469
10,34,739
10,35,111
11,1,697
11,2,642
11,3,481
11,4,421
11,5,500
11,6,90
11,7,734
11,8,233
11,9,715
11,10,1011
11,11,25
11,12,480
11,13,884
11,14,370
11,15,988
11,16,506
11,17,1016
11,18,377
11,19,349
11,20,422
11,21,104
11,22,422
11,23,389
11,24,662
11,25,389
11,26,120
11,27,828
11,28,586
11,29,584
11,30,389
11,31,227
11,32,428
11,33,1010
11,34,471
11,35,505
12,1,422
12,2,668
12,3,249
12,4,467
12,5,322
12,6,423
12,7,737
12,8,21
12,9,452
12,10,445
12,11,802
12,12,141
12,13,668
12,14,327
12,15,370
12,16,967
12,17,745
12,18,602
12,19,610
12,20,260
12,21,950
12,22,593
12,23,592
12,24,623
12,25,208
12,26,356
12,27,501
12,28,743
12,29,591
12,30,691
12,31,86
12,32,805
12,33,209
12,34,773
12,35,491
13,1,69
13,2,70
13,3,102
13,4,102
13,5,252
13,6,167
13,7,167
13,8,675
13,9,160
13,10,664
13,11,242
13,12,239
13,13,279
13,14,273
13,15,744
13,16,171
13,17,889
13,18,505
13,19,702
13,20,505
13,21,479
13,22,505
13,23,365
13,24,670
13,25,955
13,26,890
13,27,733
13,28,904
13,29,670
13,30,670
13,31,670
13,32,486
13,33,890
13,34,1010
13,35,611
14,1,642
14,2,895
14,3,169
14,4,52
14,5,342
14,6,342
14,7,757
14,8,306
14,9,271
14,10,766
14,11,40
14,12,999
14,13,202
14,14,359
14,15,46
14,16,897
14,17,120
14,18,217
14,19,329
14,20,937
14,21,166
14,22,621
14,23,869
14,24,169
14,25,343
14,26,62
14,27,824
14,28,395
14,29,583
14,30,243
14,31,494
14,32,11
14,33,422
14,34,420
14,35,41
15,1,336
15,2,905
15,3,205
15,4,857
15,5,127
15,6,927
15,7,934
15,8,802
15,9,911
15,10,682
15,11,487
15,12,449
15,13,46
15,14,921
15,15,463
15,16,187
15,17,763
15,18,477
15,19,599
15,20,474
15,21,416
15,22,95
15,23,421
15,24,422
15,25,545
15,26,306
15,27,337
15,28,429
15,29,411
15,30,1020
15,31,763
15,32,445
15,33,990
15,34,884
15,35,447
16,1,505
16,2,70
16,3,102
16,4,242
16,5,133
16,6,989
16,7,304
16,8,986
16,9,693
16,10,774
16,11,500
16,12,551
16,13,277
16,14,380
16,15,101
16,16,299
16,17,639
16,18,266
16,19,250
16,20,478
16,21,478
16,22,680
16,23,53
16,24,1002
16,25,478
16,26,80
16,27,344
16,28,675
16,29,259
16,30,410
16,31,43
16,32,317
16,33,559
16,34,697
16,35,313
17,1,299
17,2,339
17,3,753
17,4,363
17,5,557
17,6,578
17,7,238
17,8,903
17,9,517
17,10,429
17,11,288
17,12,824
17,13,783
17,14,524
17,15,559
17,16,422
17,17,497
17,18,397
