pse_id,user_id
1,364
2,862
3,820
4,481
5,656
6,250
7,663
8,503
9,681
10,860
11,114
12,446
13,753
14,931
15,26
16,716
17,102
18,580
19,704
20,951
21,326
22,992
23,711
24,521
25,685
26,344
27,269
28,333
29,393
30,215
31,324
32,328
33,226
34,497
35,439
36,117
37,98
38,363
39,274
40,13
41,553
42,498
43,837
44,244
45,319
46,755
47,516
48,847
49,199
50,803
51,1
52,598
53,952
54,72
55,623
56,372
57,593
58,989
59,969
60,979
61,991
62,229
63,676
64,775
65,416
66,578
67,780
68,241
69,695
70,34
71,77
72,191
73,693
74,581
75,70
76,573
77,365
78,360
79,456
80,152
81,512
82,828
83,211
84,230
85,694
86,834
87,203
88,878
89,320
90,340
91,749
92,981
93,175
94,369
95,518
96,533
97,608
98,476
99,183
100,403
101,566
102,318
103,294
104,91
105,765
106,606
107,359
108,794
109,934
110,125
111,397
112,675
113,706
114,730
115,717
116,907
117,869
118,689
119,743
120,808
121,86
122,697
123,390
124,557
125,367
126,638
127,545
128,143
129,296
130,953
131,667
132,17
133,976
134,805
135,661
136,845
137,543
138,635
139,752
140,835
141,898
142,391
143,643
144,484
145,204
146,25
147,735
148,171
149,747
150,20
151,225
152,24
153,714
154,671
155,311
156,742
157,713
158,237
159,123
160,427
161,321
162,73
163,725
164,217
165,89
166,463
167,305
168,327
169,827
170,894
171,281
172,515
173,738
174,833
175,830
176,464
177,522
178,544
179,519
180,947
181,11
182,587
183,973
184,563
185,631
186,645
187,266
188,451
189,491
190,293
191,756
192,431
193,859
194,213
195,993
196,800
197,824
198,615
199,357
200,767
201,903
202,610
203,108
204,817
205,466
206,720
207,423
208,178
209,197
210,130
211,186
212,871
213,412
214,513
215,59
216,415
217,136
218,330
219,782
220,323
221,764
222,386
223,7
224,904
225,300
226,501
227,872
228,356
229,909
230,690
231,669
232,224
233,840
234,137
235,582
236,814
237,874
238,44
239,732
240,387
241,124
242,141
243,424
244,938
245,127
246,502
247,248
248,920
249,621
250,449
251,494
252,715
253,113
254,322
255,419
256,112
257,176
258,62
259,396
260,852
261,131
262,67
263,813
264,708
265,147
266,189
267,134
268,470
269,863
270,625
271,856
272,965
273,684
274,54
275,785
276,818
277,618
278,861
279,377
280,599
281,409
282,916
283,804
284,32
285,53
286,496
287,791
288,267
289,703
290,926
291,504
292,193
293,583
294,69
295,21
296,454
297,468
298,994
299,795
300,796
301,632
302,207
303,793
304,879
305,261
306,962
307,482
308,184
309,385
310,921
311,877
312,567
313,963
314,173
315,500
316,778
317,490
318,100
319,526
320,762
321,382
322,783
323,121
324,511
325,726
326,188
327,905
328,758
329,914
330,115
331,101
332,636
333,286
334,554
335,92
336,257
337,679
338,975
339,617
340,701
341,886
342,492
343,509
344,829
345,353
346,812
347,441
348,825
349,378
350,924
351,329
352,448
353,39
354,688
355,985
356,763
357,120
358,422
359,205
360,3
361,609
362,897
363,640
364,200
365,33
366,457
367,109
368,242
369,550
370,499
371,462
372,375
373,51
374,739
375,774
376,622
377,864
378,882
379,398
380,90
381,807
382,761
383,395
384,586
385,849
386,278
387,939
388,797
389,232
390,908
391,786
392,642
393,254
394,405
395,295
396,158
397,603
398,335
399,529
400,383
401,702
402,740
403,85
404,736
405,1000
406,895
407,480
408,458
409,552
410,653
411,64
412,549
413,958
414,66
415,18
416,181
417,198
418,594
419,401
420,404
421,275
422,666
423,252
424,417
425,103
426,195
427,505
428,839
429,746
430,169
431,555
432,737
433,473
434,541
435,399
436,986
437,61
438,88
439,46
440,273
441,370
442,255
443,5
444,917
445,570
446,87
447,750
448,821
449,228
450,75
451,722
452,445
453,469
454,590
455,202
456,132
457,745
458,826
459,35
460,710
461,919
462,447
463,74
464,376
465,144
466,477
467,506
468,868
469,987
470,605
471,832
472,842
473,180
474,773
475,55
476,890
477,210
478,450
479,374
480,428
481,493
482,933
483,538
484,346
485,906
486,79
487,420
488,187
489,23
490,724
491,212
492,312
493,192
494,677
495,221
496,285
497,348
498,292
499,530
500,268
501,565
502,12
503,854
504,816
505,440
506,437
507,78
508,652
509,880
510,418
511,145
512,806
513,10
514,539
515,654
516,81
517,641
518,551
519,772
520,84
521,19
522,298
523,949
524,43
525,30
526,110
527,888
528,844
529,650
530,613
531,696
532,798
533,345
534,674
535,272
536,264
537,129
538,525
539,891
540,56
541,337
542,923
543,209
544,83
545,317
546,575
547,452
548,148
549,801
550,472
551,227
552,620
553,612
554,240
555,568
556,168
557,436
558,182
559,190
560,569
561,307
562,712
563,630
564,71
565,156
566,932
567,960
568,802
569,885
570,799
571,290
572,291
573,520
574,571
575,867
576,306
577,384
578,946
579,316
580,517
581,851
582,231
583,600
584,972
585,873
586,303
587,495
588,461
589,980
590,655
591,651
592,893
593,915
594,379
595,15
596,280
597,42
598,673
599,944
600,911
601,680
602,167
603,664
604,479
605,465
606,38
607,507
608,892
609,106
610,831
611,619
612,574
613,262
614,430
615,754
616,161
617,682
618,508
619,28
620,362
621,857
622,194
623,402
624,779
625,389
626,105
627,901
628,912
629,536
630,777
631,14
632,935
633,133
634,354
635,478
636,259
637,734
638,47
639,119
640,22
641,96
642,216
643,809
644,611
645,471
646,687
647,2
648,670
649,443
650,927
651,392
652,347
653,435
654,668
655,542
656,342
657,959
658,910
659,126
660,560
661,822
662,788
663,149
664,884
665,977
666,579
667,162
668,9
669,887
670,310
671,159
672,45
673,351
674,748
675,929
676,381
677,4
678,728
679,341
680,810
681,339
682,848
683,263
684,31
685,769
686,407
687,561
688,766
689,974
690,16
691,662
692,50
693,665
694,408
695,983
696,751
697,789
698,955
699,957
700,660
701,686
702,768
703,546
704,823
705,68
706,160
707,527
708,270
709,474
710,349
711,99
712,93
713,282
714,524
715,172
716,614
717,223
718,870
719,249
720,334
721,304
722,164
723,138
724,309
725,256
726,649
727,239
728,990
729,8
730,413
731,836
732,999
733,206
734,234
735,900
736,866
737,970
738,313
739,301
740,971
741,792
742,647
743,548
744,185
745,314
746,531
747,27
748,394
749,355
750,331
751,157
752,426
753,475
754,487
755,843
756,996
757,683
758,358
759,373
760,459
761,455
762,591
763,954
764,731
765,236
766,562
767,595
768,150
769,787
770,104
771,460
772,584
773,214
774,624
775,489
776,80
777,744
778,177
779,760
780,719
781,140
782,633
783,142
784,163
785,271
786,723
787,135
788,540
789,602
790,467
791,784
792,483
793,964
794,29
795,155
796,699
797,577
798,948
799,596
800,332
801,308
802,597
803,928
804,628
805,146
806,154
807,629
808,648
809,6
810,709
811,352
812,486
813,371
814,220
815,815
816,380
817,729
818,759
819,338
820,95
821,604
822,60
823,444
824,984
825,325
826,556
827,588
828,40
829,258
830,246
831,243
832,166
833,288
834,639
835,956
836,48
837,411
838,528
839,218
840,875
841,277
842,811
843,488
844,485
845,151
846,97
847,284
848,94
849,111
850,289
851,700
852,968
853,537
854,995
855,819
856,179
857,936
858,299
859,122
860,727
861,672
862,174
863,118
864,853
865,559
866,434
867,558
868,925
869,846
870,978
871,196
872,201
873,336
874,63
875,366
876,425
877,238
878,433
879,896
880,429
881,564
882,76
883,233
884,922
885,707
886,698
887,589
888,998
889,572
890,368
891,718
892,692
893,361
894,388
895,691
896,881
897,918
898,607
899,235
900,297
901,523
902,889
903,343
904,592
905,930
906,49
907,65
908,637
909,245
910,858
911,770
912,721
913,616
914,421
915,116
916,453
917,432
918,966
919,36
920,222
921,253
922,982
923,705
924,315
925,626
926,899
927,627
928,58
929,741
930,855
931,535
932,585
933,850
934,838
935,547
936,279
937,276
938,790
939,657
940,940
941,400
942,302
943,438
944,902
945,961
946,945
947,913
948,634
949,442
950,534
951,350
952,41
953,410
954,733
955,247
956,943
957,997
958,967
959,576
960,219
961,644
962,260
963,52
964,941
965,514
966,139
967,153
968,883
969,208
970,414
971,646
972,37
973,251
974,659
975,942
976,988
977,776
978,757
979,57
980,107
981,841
982,532
983,406
984,876
985,865
986,265
987,950
988,658
989,128
990,771
991,510
992,781
993,287
994,283
995,937
996,82
997,165
998,170
999,601
1000,678
