pse_id,time_id,reg_id
1,1,*
1,2,27 28 59 60
1,3,*
1,4,*
1,5,*
1,6,*
1,7,*
1,8,*
1,9,*
1,10,*
1,11,211 212 243 244
1,12,*
1,13,*
1,14,*
1,15,*
1,16,*
1,17,*
1,18,*
1,19,*
1,20,*
1,21,*
1,22,*
1,23,*
1,24,*
1,25,*
1,26,*
1,27,325 326 357 358
1,28,*
1,29,*
1,30,*
1,31,141 142 173 174
1,32,*
1,33,*
1,34,*
1,35,215 216 247 248
2,1,*
2,2,*
2,3,*
2,4,*
2,5,*
2,6,*
2,7,*
2,8,*
2,9,*
2,10,*
2,11,*
2,12,*
2,13,*
2,14,273 274 305 306
2,15,*
2,16,*
2,17,913 914 945 946
2,18,465 466 497 498
2,19,463 464 495 496
2,20,*
2,21,*
2,22,*
2,23,*
2,24,*
2,25,*
2,26,*
2,27,*
2,28,*
2,29,469 470 501 502
2,30,*
2,31,*
2,32,*
2,33,399 400 431 432
2,34,*
2,35,*
3,1,*
3,2,*
3,3,*
3,4,*
3,5,595 596 627 628
3,6,593 594 625 626
3,7,*
3,8,717 718 749 750
3,9,*
3,10,473 474 505 506
3,11,*
3,12,*
3,13,535 536 567 568
3,14,*
3,15,*
3,16,*
3,17,*
3,18,*
3,19,*
3,20,*
3,21,345 346 377 378
3,22,*
3,23,*
3,24,*
3,25,*
3,26,*
3,27,*
3,28,*
3,29,*
3,30,*
3,31,*
3,32,*
3,33,*
3,34,*
3,35,*
4,1,991 992 1023 1024
4,2,*
4,3,*
4,4,*
4,5,*
4,6,*
4,7,*
4,8,*
4,9,*
4,10,*
4,11,*
4,12,*
4,13,*
4,14,*
4,15,*
4,16,*
4,17,*
4,18,131 132 163 164
4,19,*
4,20,*
4,21,*
4,22,*
4,23,*
4,24,*
4,25,*
4,26,*
4,27,*
4,28,*
4,29,*
4,30,71 72 103 104
4,31,133 134 165 166
4,32,199 200 231 232
4,33,263 264 295 296
4,34,*
4,35,*
5,1,*
5,2,*
5,3,*
5,4,215 216 247 248
5,5,449 450 481 482
5,6,*
5,7,*
5,8,*
5,9,595 596 627 628
5,10,*
5,11,*
5,12,*
5,13,*
5,14,473 474 505 506
5,15,473 474 505 506
5,16,*
5,17,413 414 445 446
5,18,413 414 445 446
5,19,*
5,20,*
5,21,591 592 623 624
5,22,*
5,23,*
5,24,*
5,25,*
5,26,*
5,27,*
5,28,*
5,29,395 396 427 428
5,30,*
5,31,*
5,32,*
5,33,395 396 427 428
5,34,*
5,35,143 144 175 176
6,1,*
6,2,*
6,3,*
6,4,*
6,5,*
6,6,11 12 43 44
6,7,*
6,8,75 76 107 108
6,9,*
6,10,*
6,11,*
6,12,*
6,13,75 76 107 108
6,14,*
6,15,*
6,16,*
6,17,*
6,18,*
6,19,*
6,20,*
6,21,*
6,22,343 344 375 376
6,23,*
6,24,411 412 443 444
6,25,411 412 443 444
6,26,*
6,27,*
6,28,*
6,29,*
6,30,467 468 499 500
6,31,471 472 503 504
6,32,*
6,33,469 470 501 502
6,34,215 216 247 248
6,35,*
7,1,*
7,2,*
7,3,411 412 443 444
7,4,*
7,5,473 474 505 506
7,6,*
7,7,*
7,8,*
7,9,*
7,10,*
7,11,215 216 247 248
7,12,151 152 183 184
7,13,*
7,14,209 210 241 242
7,15,*
7,16,143 144 175 176
7,17,*
7,18,*
7,19,*
7,20,*
7,21,*
7,22,143 144 175 176
7,23,143 144 175 176
7,24,*
7,25,*
7,26,211 212 243 244
7,27,*
7,28,*
7,29,149 150 181 182
7,30,*
7,31,*
7,32,*
7,33,*
7,34,*
7,35,79 80 111 112
8,1,*
8,2,*
8,3,275 276 307 308
8,4,*
8,5,*
8,6,473 474 505 506
8,7,*
8,8,*
8,9,*
8,10,*
8,11,*
8,12,*
8,13,*
8,14,529 530 561 562
8,15,*
8,16,*
8,17,*
8,18,*
8,19,*
8,20,*
8,21,*
8,22,*
8,23,*
8,24,337 338 369 370
8,25,337 338 369 370
8,26,*
8,27,*
8,28,*
8,29,*
8,30,583 584 615 616
8,31,585 586 617 618
8,32,587 588 619 620
8,33,*
8,34,*
8,35,*
9,1,*
9,2,*
9,3,*
9,4,*
9,5,*
9,6,449 450 481 482
9,7,*
9,8,*
9,9,*
9,10,*
9,11,*
9,12,*
9,13,*
9,14,*
9,15,*
9,16,*
9,17,*
9,18,*
9,19,*
9,20,*
9,21,473 474 505 506
9,22,*
9,23,*
9,24,*
9,25,*
9,26,*
9,27,449 450 481 482
9,28,*
9,29,389 390 421 422
9,30,*
9,31,*
9,32,*
9,33,*
9,34,*
9,35,*
10,1,*
10,2,*
10,3,*
10,4,*
10,5,*
10,6,*
10,7,*
10,8,*
10,9,*
10,10,*
10,11,*
10,12,513 514 545 546
