pse_id,time_id,reg_id
1,1,263 264 295 296
1,2,69 70 101 102
1,3,71 72 103 104
1,4,137 138 169 170
1,5,271 272 303 304
1,6,343 344 375 376
1,7,411 412 443 444
1,8,543 544 575 576
1,9,671 672 703 704
1,10,401 402 433 434
1,11,601 602 633 634
1,12,731 732 763 764
1,13,667 668 699 700
1,14,603 604 635 636
1,15,601 602 633 634
1,16,601 602 633 634
1,17,537 538 569 570
1,18,473 474 505 506
1,19,473 474 505 506
1,20,471 472 503 504
1,21,469 470 501 502
1,22,467 468 499 500
1,23,401 402 433 434
1,24,401 402 433 434
1,25,473 474 505 506
1,26,473 474 505 506
1,27,473 474 505 506
1,28,473 474 505 506
1,29,471 472 503 504
1,30,397 398 429 430
1,31,453 454 485 486
1,32,391 392 423 424
1,33,405 406 437 438
1,34,469 470 501 502
1,35,595 596 627 628
2,1,991 992 1023 1024
2,2,927 928 959 960
2,3,667 668 699 700
2,4,473 474 505 506
2,5,345 346 377 378
2,6,149 150 181 182
2,7,19 20 51 52
2,8,19 20 51 52
2,9,149 150 181 182
2,10,537 538 569 570
2,11,797 798 829 830
2,12,409 410 441 442
2,13,345 346 377 378
2,14,217 218 249 250
2,15,93 94 125 126
2,16,95 96 127 128
2,17,93 94 125 126
2,18,217 218 249 250
2,19,283 284 315 316
2,20,345 346 377 378
2,21,345 346 377 378
2,22,3 4 35 36
2,23,71 72 103 104
2,24,137 138 169 170
2,25,71 72 103 104
2,26,3 4 35 36
2,27,69 70 101 102
2,28,205 206 237 238
2,29,273 274 305 306
2,30,597 598 629 630
2,31,533 534 565 566
2,32,337 338 369 370
2,33,3 4 35 36
2,34,3 4 35 36
2,35,67 68 99 100
3,1,69 70 101 102
3,2,69 70 101 102
3,3,69 70 101 102
3,4,199 200 231 232
3,5,223 224 255 256
3,6,473 474 505 506
3,7,473 474 505 506
3,8,473 474 505 506
3,9,473 474 505 506
3,10,473 474 505 506
3,11,473 474 505 506
3,12,473 474 505 506
3,13,473 474 505 506
3,14,473 474 505 506
3,15,537 538 569 570
3,16,537 538 569 570
3,17,537 538 569 570
3,18,407 408 439 440
3,19,847 848 879 880
3,20,847 848 879 880
3,21,721 722 753 754
3,22,723 724 755 756
3,23,595 596 627 628
3,24,595 596 627 628
3,25,529 530 561 562
3,26,529 530 561 562
3,27,531 532 563 564
3,28,467 468 499 500
3,29,209 210 241 242
3,30,143 144 175 176
3,31,141 142 173 174
3,32,79 80 111 112
3,33,79 80 111 112
3,34,79 80 111 112
3,35,79 80 111 112
4,1,69 70 101 102
4,2,71 72 103 104
4,3,449 450 481 482
4,4,69 70 101 102
4,5,69 70 101 102
4,6,69 70 101 102
4,7,69 70 101 102
4,8,69 70 101 102
4,9,69 70 101 102
4,10,69 70 101 102
4,11,69 70 101 102
4,12,69 70 101 102
4,13,69 70 101 102
4,14,69 70 101 102
4,15,259 260 291 292
4,16,385 386 417 418
4,17,841 842 873 874
4,18,841 842 873 874
4,19,843 844 875 876
4,20,973 974 1005 1006
4,21,975 976 1007 1008
4,22,31 32 63 64
4,23,31 32 63 64
4,24,607 608 639 640
4,25,343 344 375 376
4,26,277 278 309 310
4,27,273 274 305 306
4,28,273 274 305 306
4,29,271 272 303 304
4,30,205 206 237 238
4,31,137 138 169 170
4,32,69 70 101 102
4,33,321 322 353 354
4,34,321 322 353 354
4,35,321 322 353 354
5,1,973 974 1005 1006
5,2,21 22 53 54
5,3,215 216 247 248
5,4,405 406 437 438
5,5,785 786 817 818
5,6,275 276 307 308
5,7,335 336 367 368
5,8,323 324 355 356
5,9,321 322 353 354
5,10,387 388 419 420
5,11,387 388 419 420
5,12,387 388 419 420
5,13,387 388 419 420
5,14,387 388 419 420
5,15,387 388 419 420
5,16,385 386 417 418
5,17,385 386 417 418
5,18,385 386 417 418
5,19,385 386 417 418
5,20,321 322 353 354
5,21,411 412 443 444
5,22,411 412 443 444
5,23,535 536 567 568
5,24,717 718 749 750
5,25,841 842 873 874
5,26,777 778 809 810
5,27,777 778 809 810
5,28,777 778 809 810
5,29,775 776 807 808
5,30,775 776 807 808
5,31,839 840 871 872
5,32,5 6 37 38
5,33,321 322 353 354
5,34,259 260 291 292
5,35,195 196 227 228
6,1,129 130 161 162
6,2,783 784 815 816
6,3,783 784 815 816
6,4,785 786 817 818
6,5,785 786 817 818
6,6,723 724 755 756
6,7,533 534 565 566
6,8,471 472 503 504
