pse_id,time_id,reg_id
1,1,156
1,2,199
1,3,288
1,4,1013
1,5,663
1,6,232
1,7,887
1,8,615
1,9,883
1,10,93
1,11,949
1,12,636
1,13,938
1,14,381
1,15,561
1,16,811
1,17,350
1,18,128
1,19,500
1,20,793
1,21,376
1,22,446
1,23,302
1,24,870
1,25,525
1,26,554
1,27,177
1,28,401
1,29,764
1,30,336
1,31,981
1,32,875
1,33,937
1,34,759
1,35,518
2,1,640
2,2,843
2,3,800
2,4,522
2,5,622
2,6,289
2,7,959
2,8,632
2,9,416
2,10,51
2,11,107
2,12,455
2,13,24
2,14,296
2,15,221
2,16,227
2,17,198
2,18,860
2,19,478
2,20,557
2,21,595
2,22,96
2,23,65
2,24,1011
2,25,290
2,26,145
2,27,19
2,28,892
2,29,177
2,30,175
2,31,382
2,32,186
2,33,452
2,34,593
2,35,857
3,1,343
3,2,791
3,3,775
3,4,32
3,5,314
3,6,767
3,7,815
3,8,237
3,9,979
3,10,280
3,11,381
3,12,1010
3,13,765
3,14,909
3,15,400
3,16,214
3,17,763
3,18,494
3,19,341
3,20,958
3,21,331
3,22,205
3,23,223
3,24,986
3,25,1006
3,26,818
3,27,925
3,28,198
3,29,390
3,30,793
3,31,312
3,32,166
3,33,987
3,34,945
3,35,391
4,1,405
4,2,866
4,3,259
4,4,943
4,5,148
4,6,496
4,7,207
4,8,115
4,9,81
4,10,100
4,11,455
4,12,506
4,13,301
4,14,728
4,15,22
4,16,317
4,17,864
4,18,561
4,19,56
4,20,523
4,21,302
4,22,170
4,23,696
4,24,201
4,25,406
4,26,746
4,27,830
4,28,616
4,29,133
4,30,11
4,31,299
4,32,496
4,33,77
4,34,85
4,35,1004
5,1,722
5,2,242
5,3,914
5,4,981
5,5,999
5,6,714
5,7,416
5,8,38
5,9,188
5,10,193
5,11,700
5,12,256
5,13,175
5,14,808
5,15,623
5,16,310
5,17,418
5,18,683
5,19,1012
5,20,294
5,21,259
5,22,912
5,23,236
5,24,501
5,25,875
5,26,705
5,27,19
5,28,441
5,29,31
5,30,391
5,31,198
5,32,653
5,33,133
5,34,250
5,35,621
6,1,655
6,2,201
6,3,556
6,4,709
6,5,733
6,6,879
6,7,885
6,8,1023
6,9,902
6,10,358
6,11,256
6,12,1
6,13,219
6,14,362
6,15,7
6,16,139
6,17,379
6,18,361
6,19,128
6,20,890
6,21,656
6,22,469
6,23,490
6,24,798
6,25,843
