pse_id,time_id,reg_id
1,1,693
1,2,824
1,3,638
1,4,432
1,5,567
1,6,1004
1,7,404
1,8,517
1,9,1020
1,10,931
1,11,310
1,12,1015
1,13,353
1,14,258
1,15,331
1,16,815
1,17,806
1,18,978
1,19,603
1,20,383
1,21,895
1,22,964
1,23,761
1,24,749
1,25,614
1,26,327
1,27,1024
1,28,17
1,29,366
1,30,45
1,31,261
1,32,488
1,33,169
1,34,221
1,35,306
2,1,71
2,2,602
2,3,953
2,4,120
2,5,517
2,6,695
2,7,160
2,8,137
2,9,907
2,10,17
2,11,250
2,12,661
2,13,280
2,14,264
2,15,582
2,16,302
2,17,138
2,18,995
2,19,152
2,20,740
2,21,911
2,22,877
2,23,173
2,24,227
2,25,452
2,26,953
2,27,907
2,28,602
2,29,94
2,30,161
2,31,582
2,32,243
2,33,294
2,34,159
2,35,178
3,1,577
3,2,909
3,3,218
3,4,810
3,5,16
3,6,61
3,7,393
3,8,174
3,9,966
3,10,795
3,11,757
3,12,495
3,13,493
3,14,588
3,15,604
3,16,918
3,17,106
3,18,513
3,19,1020
3,20,483
3,21,855
3,22,611
3,23,674
3,24,265
3,25,848
3,26,235
3,27,684
3,28,72
3,29,356
3,30,473
3,31,961
3,32,321
3,33,317
3,34,35
3,35,686
4,1,105
4,2,854
4,3,758
4,4,597
4,5,235
4,6,632
4,7,647
4,8,323
4,9,51
4,10,900
4,11,461
4,12,778
4,13,245
4,14,598
4,15,429
4,16,380
4,17,113
4,18,235
4,19,63
4,20,296
4,21,755
4,22,623
4,23,683
4,24,73
4,25,689
4,26,506
4,27,222
4,28,163
4,29,173
4,30,862
4,31,1006
4,32,935
4,33,344
4,34,795
4,35,551
5,1,282
5,2,517
5,3,344
5,4,950
5,5,805
5,6,880
5,7,115
5,8,581
5,9,204
5,10,887
5,11,434
5,12,91
5,13,373
5,14,400
5,15,270
5,16,81
5,17,104
5,18,312
5,19,973
5,20,197
5,21,761
5,22,250
5,23,19
5,24,468
5,25,140
5,26,462
5,27,770
5,28,742
5,29,349
5,30,481
5,31,831
5,32,856
5,33,315
5,34,313
5,35,29
6,1,1012
6,2,653
6,3,568
6,4,71
6,5,453
6,6,53
6,7,490
6,8,242
6,9,128
6,10,627
6,11,687
6,12,611
6,13,243
6,14,49
6,15,688
6,16,783
6,17,105
6,18,752
6,19,788
6,20,95
6,21,489
6,22,280
6,23,634
6,24,877
6,25,879
6,26,959
6,27,799
6,28,432
6,29,789
6,30,1007
6,31,364
6,32,18
6,33,511
6,34,349
6,35,165
7,1,270
7,2,630
7,3,36
7,4,813
7,5,626
7,6,412
7,7,53
7,8,973
7,9,928
7,10,863
7,11,909
7,12,991
7,13,731
7,14,944
7,15,982
7,16,948
7,17,218
7,18,859
7,19,180
7,20,911
7,21,888
7,22,898
7,23,319
7,24,881
7,25,665
7,26,46
7,27,257
7,28,495
7,29,430
7,30,704
7,31,217
7,32,651
7,33,275
7,34,799
7,35,425
8,1,234
8,2,809
8,3,548
8,4,405
8,5,195
8,6,305
8,7,63
8,8,224
8,9,676
8,10,347
8,11,836
8,12,670
8,13,632
8,14,419
8,15,653
8,16,894
8,17,305
8,18,339
8,19,867
8,20,534
8,21,945
8,22,176
8,23,205
8,24,881
8,25,84
8,26,472
8,27,857
8,28,705
8,29,463
8,30,153
8,31,555
8,32,1012
8,33,820
8,34,38
8,35,723
9,1,696
9,2,93
9,3,126
9,4,145
9,5,106
9,6,221
9,7,422
9,8,681
9,9,332
9,10,524
9,11,838
9,12,904
9,13,716
9,14,852
9,15,303
9,16,806
9,17,938
9,18,20
9,19,446
9,20,232
9,21,497
9,22,625
9,23,199
9,24,894
9,25,248
9,26,726
9,27,870
9,28,954
9,29,978
9,30,691
9,31,637
9,32,602
9,33,487
9,34,357
9,35,2
10,1,972
10,2,648
10,3,762
10,4,348
10,5,939
10,6,854
10,7,557
10,8,886
10,9,868
10,10,825
10,11,118
10,12,541
10,13,921
10,14,785
10,15,420
10,16,1001
10,17,242
10,18,328
10,19,977
10,20,825
10,21,921
10,22,597
10,23,377
10,24,226
10,25,289
10,26,751
10,27,737
10,28,462
10,29,361
10,30,590
10,31,537
