pse_id,time,reg_id
1,2013/12/16 15:45:54,501
1,2013/12/16 16:15:54,138
1,2013/12/16 16:45:54,442
1,2013/12/16 17:15:54,897
1,2013/12/16 17:45:54,31
1,2013/12/16 18:15:54,481
1,2013/12/16 18:45:54,32
1,2013/12/16 19:15:54,676
1,2013/12/16 19:45:54,751
1,2013/12/16 20:15:54,164
1,2013/12/16 20:45:54,12
1,2013/12/16 22:40:54,289
1,2013/12/16 23:10:54,16
1,2013/12/16 23:40:54,921
1,2013/12/22 09:05:07,564
1,2013/12/22 09:35:07,252
1,2013/12/22 10:05:07,221
1,2013/12/22 10:35:07,103
1,2013/12/22 11:05:07,215
1,2013/12/22 11:35:07,882
1,2013/12/22 12:05:07,544
1,2013/12/22 12:35:07,84
1,2013/12/22 13:05:07,420
1,2013/12/22 13:35:07,693
1,2013/12/22 14:05:07,890
1,2013/12/22 14:35:07,442
1,2013/12/22 15:05:07,806
1,2013/12/22 16:45:07,357
1,2013/12/22 17:15:12,528
1,2013/12/22 17:45:17,131
1,2013/12/22 18:15:22,87
1,2013/12/22 18:45:27,628
1,2013/12/22 19:15:32,848
1,2013/12/22 19:45:37,446
1,2013/12/22 20:15:42,1014
2,2013/10/07 22:00:47,456
2,2013/10/07 22:30:47,595
2,2013/10/07 23:00:47,955
2,2013/10/07 23:30:47,624
2,2013/10/13 14:15:30,673
2,2013/10/13 16:00:30,240
2,2013/12/16 00:00:00,146
2,2013/12/16 10:50:04,562
2,2013/12/16 11:20:04,511
2,2013/12/16 11:50:04,265
2,2013/12/16 12:20:04,586
2,2013/12/16 12:50:04,678
2,2013/12/16 13:20:04,621
2,2013/12/16 13:50:04,404
2,2013/12/16 14:20:04,882
2,2013/12/16 14:50:04,815
2,2013/12/16 15:20:04,466
2,2013/12/16 15:50:04,835
2,2013/12/16 16:20:04,460
2,2013/12/16 16:50:04,603
2,2013/12/16 17:20:04,976
2,2013/12/16 17:50:04,41
2,2013/12/16 20:45:24,647
2,2013/12/16 21:55:54,474
2,2013/12/16 22:25:54,281
2,2013/12/22 00:00:00,572
2,2013/12/22 09:55:44,866
2,2013/12/22 10:25:44,795
2,2013/12/22 10:55:44,536
2,2013/12/22 11:25:44,393
2,2013/12/22 11:55:44,544
2,2013/12/22 12:25:44,783
2,2013/12/22 12:55:44,717
2,2013/12/22 13:25:44,242
2,2013/12/22 13:55:44,304
3,2013/10/07 14:30:17,629
3,2013/10/07 15:00:17,147
3,2013/10/07 15:30:17,755
3,2013/10/07 16:00:17,538
3,2013/10/07 16:30:17,56
3,2013/10/07 17:00:17,381
3,2013/10/07 17:30:17,268
3,2013/10/07 18:00:17,690
3,2013/10/07 18:30:17,952
3,2013/10/13 06:40:43,988
3,2013/10/13 17:20:36,771
3,2013/10/13 17:50:36,262
3,2013/10/13 18:20:36,616
3,2013/10/13 18:50:36,195
3,2013/10/13 19:20:36,756
3,2013/10/13 19:50:36,125
3,2013/10/13 20:20:36,762
3,2013/10/13 20:50:36,883
3,2013/10/13 21:20:36,507
3,2013/10/13 21:50:36,17
3,2013/10/13 22:20:36,430
3,2013/12/16 08:00:12,850
3,2013/12/16 09:00:12,140
3,2013/12/16 09:30:18,181
3,2013/12/16 10:00:25,736
3,2013/12/16 10:30:31,554
3,2013/12/16 11:00:37,181
3,2013/12/16 11:30:43,1008
3,2013/12/16 12:00:50,560
3,2013/12/16 13:55:55,577
3,2013/12/16 14:25:58,798
3,2013/12/16 15:00:02,920
3,2013/12/16 15:30:05,11
3,2013/12/16 16:00:08,322
3,2013/12/16 16:30:12,163
4,2013/10/07 13:20:34,535
4,2013/10/07 13:50:34,135
4,2013/10/07 14:20:34,885
4,2013/10/07 14:50:34,891
4,2013/10/07 15:20:34,271
4,2013/10/07 15:50:34,633
4,2013/10/07 16:20:34,198
4,2013/10/07 16:50:34,785
4,2013/10/07 17:20:34,1000
4,2013/10/07 17:50:34,638
4,2013/10/07 18:20:34,460
4,2013/10/07 20:10:34,22
4,2013/10/07 20:40:34,610
4,2013/10/13 07:40:03,390
4,2013/10/13 08:45:03,921
4,2013/10/13 09:15:03,138
4,2013/10/13 09:45:03,195
4,2013/10/13 10:15:03,668
4,2013/10/13 10:45:03,961
4,2013/10/13 11:15:03,824
4,2013/10/13 11:45:03,560
4,2013/10/13 12:15:03,707
4,2013/10/13 12:45:03,596
4,2013/10/13 13:15:03,507
4,2013/10/13 13:45:03,7
4,2013/10/13 15:20:03,677
4,2013/10/13 15:50:03,476
4,2013/10/13 16:20:03,639
4,2013/10/13 16:50:03,463
4,2013/10/13 17:20:03,263
4,2013/10/13 17:50:03,523
4,2013/10/13 18:20:03,804
4,2013/10/13 18:50:03,545
4,2013/10/13 19:20:03,65
4,2013/10/13 20:35:03,493
5,2013/07/07 14:40:51,612
5,2013/07/07 15:10:51,553
5,2013/07/07 15:40:51,300
5,2013/07/07 16:10:51,319
5,2013/07/07 16:40:51,312
5,2013/07/07 17:10:51,1014
5,2013/07/07 17:40:51,169
5,2013/07/07 18:10:51,387
5,2013/07/07 18:40:51,1007
5,2013/07/07 19:10:51,539
5,2013/07/07 19:40:51,214
5,2013/07/07 20:10:51,243
