pse_id,time_id,reg_id
1,1,960
1,2,767
1,3,928
1,4,733
1,5,575
1,6,600
1,7,594
1,8,591
1,9,289
1,10,323
1,11,324
1,12,456
1,13,552
1,14,358
1,15,264
1,16,422
1,17,674
1,18,545
1,19,362
1,20,553
1,21,427
1,22,331
1,23,366
1,24,268
1,25,174
1,26,209
1,27,533
1,28,596
1,29,589
1,30,625
1,31,336
1,32,498
1,33,463
1,34,334
1,35,460
2,1,5
2,2,5
2,3,68
2,4,100
2,5,324
2,6,358
2,7,961
2,8,807
2,9,632
2,10,503
2,11,597
2,12,725
2,13,687
2,14,748
2,15,906
2,16,897
2,17,17
2,18,309
2,19,474
2,20,148
2,21,58
2,22,211
2,23,106
2,24,235
2,25,11
2,26,171
2,27,199
2,28,365
2,29,180
2,30,213
2,31,407
2,32,250
2,33,222
2,34,416
2,35,121
3,1,439
3,2,467
3,3,496
3,4,431
3,5,431
3,6,464
3,7,392
3,8,461
3,9,389
3,10,421
3,11,363
3,12,391
3,13,270
3,14,263
3,15,168
3,16,145
3,17,112
3,18,234
3,19,866
3,20,938
3,21,876
3,22,848
3,23,625
3,24,797
3,25,505
3,26,542
3,27,472
3,28,466
3,29,706
3,30,184
3,31,565
3,32,429
3,33,289
3,34,193
3,35,419
4,1,770
4,2,410
4,3,408
4,4,112
4,5,230
4,6,211
4,7,305
4,8,664
4,9,598
4,10,566
4,11,471
4,12,408
4,13,374
4,14,337
4,15,368
4,16,76
4,17,914
4,18,465
4,19,400
4,20,430
4,21,426
4,22,367
4,23,473
4,24,505
4,25,504
4,26,441
4,27,316
4,28,125
4,29,467
4,30,532
4,31,311
4,32,530
4,33,559
4,34,297
4,35,332
5,1,406
5,2,567
5,3,411
5,4,412
5,5,443
5,6,412
5,7,315
5,8,473
5,9,318
5,10,345
5,11,716
5,12,361
5,13,435
5,14,540
5,15,506
5,16,289
5,17,389
5,18,554
5,19,744
5,20,685
5,21,647
5,22,614
5,23,711
5,24,646
5,25,645
5,26,641
5,27,865
5,28,792
5,29,764
5,30,661
5,31,723
5,32,623
5,33,532
5,34,467
5,35,469
6,1,906
6,2,748
6,3,808
6,4,908
6,5,645
6,6,809
6,7,1001
6,8,357
6,9,130
6,10,163
6,11,22
6,12,317
6,13,9
6,14,230
6,15,100
6,16,133
6,17,135
6,18,2
6,19,106
6,20,41
6,21,106
6,22,145
6,23,143
6,24,11
6,25,1024
6,26,988
6,27,864
6,28,927
6,29,766
6,30,601
6,31,601
6,32,632
6,33,599
6,34,508
6,35,600
7,1,643
7,2,584
7,3,740
7,4,609
7,5,486
7,6,929
7,7,19
7,8,113
7,9,238
7,10,82
7,11,391
7,12,231
7,13,272
7,14,271
7,15,177
7,16,462
7,17,405
7,18,278
7,19,213
7,20,50
7,21,311
7,22,312
7,23,244
7,24,381
7,25,249
7,26,435
7,27,977
7,28,974
7,29,877
7,30,976
7,31,848
7,32,882
7,33,720
7,34,661
7,35,564
8,1,776
8,2,725
8,3,817
8,4,786
8,5,982
8,6,754
8,7,817
8,8,721
8,9,779
8,10,688
8,11,683
8,12,967
8,13,775
8,14,709
8,15,801
8,16,737
8,17,641
8,18,833
8,19,774
8,20,707
8,21,866
8,22,685
8,23,569
8,24,438
8,25,567
8,26,567
8,27,567
8,28,561
8,29,530
8,30,724
8,31,623
8,32,593
8,33,720
8,34,782
8,35,701
9,1,912
9,2,786
9,3,786
9,4,815
9,5,849
9,6,916
9,7,815
9,8,845
9,9,781
9,10,917
9,11,568
9,12,502
9,13,566
9,14,800
