pse_id,time_id,reg_id
1,1,143
1,2,207
1,3,136
1,4,103
1,5,69
1,6,71
1,7,103
1,8,104
1,9,169
1,10,137
1,11,76
1,12,173
1,13,204
1,14,751
1,15,626
1,16,749
1,17,965
1,18,744
1,19,712
1,20,743
1,21,647
1,22,678
1,23,712
1,24,676
1,25,379
1,26,374
1,27,242
1,28,275
1,29,539
1,30,634
1,31,895
1,32,895
1,33,466
1,34,428
1,35,355
2,1,85
2,2,116
2,3,84
2,4,53
2,5,51
2,6,19
2,7,51
2,8,18
2,9,80
2,10,81
2,11,50
2,12,47
2,13,50
2,14,49
2,15,53
2,16,557
2,17,557
2,18,556
2,19,651
2,20,588
2,21,554
2,22,650
2,23,649
2,24,679
2,25,680
2,26,745
2,27,807
2,28,777
2,29,809
2,30,647
2,31,556
2,32,862
2,33,568
2,34,536
2,35,536
3,1,290
3,2,353
3,3,390
3,4,390
3,5,258
3,6,204
3,7,204
3,8,302
3,9,306
3,10,273
3,11,278
3,12,309
3,13,374
3,14,407
3,15,341
3,16,309
3,17,275
3,18,339
3,19,238
3,20,204
3,21,306
3,22,103
3,23,103
3,24,138
3,25,268
3,26,206
3,27,304
3,28,305
3,29,274
3,30,244
3,31,278
3,32,156
3,33,339
3,34,422
3,35,200
4,1,5
4,2,99
4,3,38
4,4,102
4,5,136
4,6,166
4,7,104
4,8,134
4,9,37
4,10,35
4,11,36
4,12,227
4,13,69
4,14,100
4,15,161
4,16,108
4,17,76
4,18,14
4,19,14
4,20,14
4,21,15
4,22,109
4,23,12
4,24,76
4,25,22
4,26,95
4,27,94
4,28,59
4,29,91
4,30,185
4,31,149
4,32,55
4,33,643
4,34,609
4,35,421
5,1,684
5,2,778
5,3,842
5,4,843
5,5,843
5,6,940
5,7,939
5,8,938
5,9,1004
5,10,2
5,11,202
5,12,425
5,13,265
5,14,341
5,15,309
5,16,341
5,17,308
5,18,277
5,19,276
5,20,243
5,21,177
5,22,144
5,23,143
5,24,362
5,25,430
5,26,463
5,27,429
5,28,428
5,29,426
5,30,425
5,31,356
5,32,292
5,33,291
5,34,9
5,35,8
6,1,25
6,2,88
6,3,214
6,4,388
6,5,454
6,6,421
6,7,420
6,8,452
6,9,485
6,10,453
6,11,485
6,12,484
6,13,453
6,14,420
6,15,421
6,16,1
6,17,407
6,18,439
6,19,440
6,20,441
6,21,440
6,22,472
6,23,472
6,24,439
6,25,203
6,26,538
6,27,608
6,28,417
6,29,874
6,30,498
6,31,345
6,32,313
6,33,311
6,34,344
6,35,249
7,1,36
7,2,196
7,3,929
7,4,868
7,5,839
7,6,871
7,7,776
7,8,808
7,9,733
7,10,632
7,11,1023
7,12,1015
7,13,1012
7,14,326
7,15,326
7,16,457
7,17,430
7,18,399
7,19,498
7,20,501
7,21,470
7,22,537
7,23,537
7,24,471
7,25,467
7,26,423
7,27,573
7,28,573
7,29,476
7,30,442
7,31,410
7,32,409
7,33,376
7,34,404
7,35,345
8,1,577
8,2,417
8,3,289
8,4,291
8,5,228
8,6,197
8,7,131
8,8,71
8,9,102
8,10,71
8,11,71
8,12,134
8,13,451
8,14,951
8,15,886
8,16,789
8,17,596
8,18,465
8,19,267
8,20,169
8,21,203
8,22,431
8,23,756
8,24,821
8,25,951
8,26,952
8,27,855
8,28,793
8,29,629
8,30,300
8,31,137
8,32,70
8,33,101
8,34,133
8,35,101
9,1,882
9,2,817
9,3,816
9,4,724
9,5,566
9,6,569
9,7,378
9,8,280
9,9,280
9,10,215
9,11,408
9,12,881
9,13,278
9,14,169
9,15,72
9,16,176
9,17,210
9,18,240
9,19,274
9,20,277
9,21,379
9,22,444
9,23,444
9,24,480
9,25,479
9,26,273
9,27,1
9,28,104
9,29,200
9,30,164
9,31,518
9,32,486
9,33,1
9,34,131
9,35,354
10,1,270
10,2,303
10,3,271
10,4,337
10,5,305
10,6,307
10,7,275
10,8,307
10,9,276
10,10,308
10,11,341
10,12,310
10,13,305
10,14,204
10,15,137
10,16,139
10,17,140
10,18,109
10,19,108
10,20,172
10,21,138
10,22,106
10,23,140
10,24,138
10,25,170
