pse_id,time_id,reg_id
1,1,992
1,2,442
1,3,442
1,4,443
1,5,443
1,6,443
1,7,411
1,8,442
1,9,102
1,10,200
1,11,232
1,12,263
1,13,295
1,14,391
1,15,424
1,16,552
1,17,584
1,18,616
1,19,681
1,20,777
1,21,808
1,22,28
1,23,27
1,24,247
1,25,247
1,26,216
1,27,216
1,28,184
1,29,153
1,30,154
1,31,122
1,32,122
1,33,91
1,34,60
1,35,60
2,1,1013
2,2,407
2,3,439
2,4,471
2,5,535
2,6,566
2,7,693
2,8,725
2,9,854
2,10,950
2,11,950
2,12,443
2,13,443
2,14,443
2,15,443
2,16,443
2,17,443
2,18,444
2,19,444
2,20,475
2,21,168
2,22,185
2,23,44
2,24,108
2,25,170
2,26,295
2,27,327
2,28,391
2,29,488
2,30,584
2,31,649
2,32,713
2,33,809
2,34,842
2,35,999
3,1,415
3,2,446
3,3,477
3,4,477
3,5,475
3,6,538
3,7,538
3,8,474
3,9,476
3,10,446
3,11,389
3,12,356
3,13,315
3,14,315
3,15,346
3,16,342
3,17,309
3,18,277
3,19,306
3,20,338
3,21,337
3,22,366
3,23,361
3,24,390
3,25,421
3,26,390
3,27,240
3,28,173
3,29,140
3,30,139
3,31,138
3,32,137
3,33,71
3,34,101
3,35,101
4,1,551
4,2,586
4,3,557
4,4,558
4,5,528
4,6,561
4,7,530
4,8,499
4,9,469
4,10,469
4,11,499
4,12,70
4,13,817
4,14,692
4,15,343
4,16,309
4,17,307
4,18,337
4,19,392
4,20,389
4,21,257
4,22,830
4,23,278
4,24,110
4,25,110
4,26,110
4,27,110
4,28,110
4,29,110
4,30,408
4,31,440
4,32,536
4,33,568
4,34,664
4,35,791
5,1,7
5,2,39
5,3,39
5,4,72
5,5,72
5,6,72
5,7,73
5,8,74
5,9,75
5,10,108
5,11,108
5,12,108
5,13,109
5,14,109
5,15,110
5,16,110
5,17,422
5,18,391
5,19,389
5,20,355
5,21,163
5,22,541
5,23,476
5,24,342
5,25,304
5,26,237
5,27,203
5,28,137
5,29,71
5,30,204
5,31,270
5,32,276
5,33,376
5,34,935
5,35,874
6,1,480
6,2,479
