pse_id,user_id
1,109
2,352
3,963
4,63
5,920
6,817
7,441
8,622
9,640
10,867
11,767
12,221
13,244
14,359
15,842
16,34
17,513
18,861
19,522
20,73
21,555
22,62
23,145
24,659
25,227
26,42
27,706
28,228
29,403
30,495
31,256
32,381
33,876
34,182
35,324
36,619
37,934
38,592
39,367
40,593
41,3
42,325
43,852
44,660
45,539
46,492
47,148
48,278
49,296
50,380
51,701
52,491
53,709
54,777
55,90
56,940
57,979
58,906
59,829
60,47
61,560
62,943
63,726
64,251
65,806
66,910
67,656
68,344
69,930
70,990
71,981
72,310
73,632
74,131
75,827
76,457
77,55
78,229
79,506
80,1000
81,5
82,124
83,207
84,733
85,206
86,754
87,445
88,895
89,106
90,184
91,878
92,854
93,532
94,834
95,126
96,85
97,816
98,98
99,377
100,819
101,904
102,713
103,702
104,633
105,674
106,744
107,639
108,909
109,493
110,782
111,231
112,334
113,932
114,50
115,505
116,730
117,500
118,407
119,449
120,289
121,217
122,275
123,130
124,822
125,170
126,557
127,703
128,901
129,764
130,125
131,665
132,810
133,964
134,197
135,272
136,485
137,573
138,771
139,342
140,203
141,484
142,839
143,916
144,731
145,855
146,693
147,707
148,92
149,961
150,747
151,651
152,488
153,710
154,809
155,54
156,183
157,893
158,647
159,743
160,606
161,694
162,306
163,23
164,580
165,851
166,603
167,663
168,621
169,237
170,664
171,966
172,908
173,370
174,384
175,305
176,604
177,136
178,300
179,989
180,720
181,784
182,378
183,888
184,362
185,360
186,800
187,618
188,537
189,611
190,780
191,585
192,274
193,283
194,649
195,563
196,542
197,942
198,24
199,211
200,71
201,270
202,759
203,850
204,525
205,536
206,254
207,385
208,398
209,696
210,838
211,364
212,610
213,967
214,995
215,939
216,567
217,843
218,442
219,78
220,167
221,18
222,954
223,97
224,152
225,688
226,423
227,253
228,813
229,882
230,6
231,75
232,137
233,273
234,849
235,416
236,68
237,976
238,332
239,812
240,737
241,575
242,808
243,894
244,276
245,900
246,410
247,718
248,802
249,470
250,558
251,788
252,397
253,657
254,594
255,724
256,317
257,514
258,179
259,865
260,233
261,571
262,922
263,627
264,419
265,20
266,510
267,169
268,490
269,465
270,438
271,263
272,176
273,172
274,327
275,666
276,214
277,241
278,988
279,742
280,528
281,975
282,471
283,335
284,56
285,223
286,446
287,705
288,156
289,94
290,84
291,74
292,968
293,392
294,912
295,219
296,427
297,821
298,127
299,267
300,924
301,971
302,180
303,119
304,383
305,312
306,828
307,645
308,466
309,551
310,583
311,186
312,33
313,758
314,429
315,469
316,399
317,95
318,950
319,358
320,541
321,316
322,472
323,931
324,323
325,72
326,269
327,35
328,144
329,41
330,303
331,721
332,749
333,785
334,841
335,224
336,293
337,452
338,856
339,61
340,773
341,1
342,750
343,83
344,396
345,735
346,350
347,285
348,540
349,550
350,700
351,698
352,826
353,804
354,595
355,390
356,313
357,776
358,107
359,516
360,992
361,962
362,774
363,591
364,308
365,891
366,746
367,783
368,139
369,524
370,44
371,880
372,51
373,477
374,561
375,249
376,697
377,375
378,258
379,984
380,552
381,255
382,546
383,727
384,173
385,646
386,336
387,848
388,986
389,353
390,870
391,628
392,881
393,355
394,393
395,918
396,222
397,428
398,432
399,523
400,794
401,195
402,527
403,103
404,86
405,191
406,946
407,678
408,598
409,998
410,474
411,654
412,291
413,354
414,37
415,577
416,405
417,174
418,389
419,547
420,202
421,450
422,140
423,426
424,815
425,951
426,753
427,648
428,958
429,617
430,873
431,715
432,363
433,708
434,333
435,518
436,175
437,307
438,499
439,314
440,515
441,599
442,521
443,25
444,616
445,65
446,226
447,576
448,39
449,679
450,952
451,641
452,408
453,797
454,230
455,7
456,391
457,454
458,340
459,996
460,187
461,820
462,626
463,189
464,262
465,953
466,459
467,260
468,582
469,879
470,736
471,902
472,869
473,636
474,508
475,480
476,319
477,304
478,204
479,311
480,814
481,439
482,977
483,938
484,238
485,116
486,243
487,905
488,379
489,292
490,503
491,277
492,772
493,157
494,309
495,135
496,199
497,933
498,689
499,755
500,874
501,608
502,27
503,605
504,941
505,425
506,215
507,376
508,366
509,478
510,972
511,458
512,530
513,321
514,448
515,193
516,762
517,121
518,259
519,201
520,330
521,858
522,163
523,345
524,414
525,150
526,535
527,729
528,825
529,102
530,142
531,752
532,818
533,77
534,589
535,400
536,467
537,662
538,667
539,166
540,892
541,43
542,566
543,302
544,431
545,14
546,897
547,890
548,112
549,82
550,748
551,612
552,250
553,556
554,507
555,341
556,443
557,489
558,913
559,322
560,297
561,235
562,684
563,138
564,795
565,117
566,565
567,248
568,133
569,444
570,509
571,69
572,19
573,113
574,232
575,473
576,16
577,301
578,803
579,642
580,889
581,915
582,837
583,436
584,779
585,543
586,553
587,824
588,844
589,991
590,252
591,769
592,115
593,279
594,830
595,153
596,31
597,213
598,661
599,960
600,45
601,216
602,921
603,331
604,21
605,374
606,463
607,799
608,482
609,343
610,496
611,36
612,927
613,680
614,349
615,559
616,494
617,59
618,476
619,911
620,929
621,388
622,789
623,437
624,634
625,969
626,768
627,225
628,401
629,49
630,288
631,108
632,926
633,2
634,578
635,631
636,723
637,596
638,498
639,171
640,264
641,11
642,859
643,357
644,766
645,512
646,246
647,12
648,712
649,236
650,239
651,569
652,840
653,695
654,479
655,417
656,863
657,188
658,162
659,956
660,675
661,326
662,46
663,368
664,714
665,10
666,923
667,687
668,247
669,778
670,421
671,511
672,584
673,833
674,883
675,993
676,91
677,369
678,719
679,114
680,409
681,590
682,937
683,983
684,925
685,208
686,52
687,320
688,196
689,462
690,13
691,147
692,318
693,756
694,793
695,868
696,670
697,502
698,519
699,586
700,866
701,209
702,568
703,637
704,118
705,372
706,630
707,914
708,738
709,141
710,406
711,168
712,607
713,638
714,481
715,570
716,287
717,860
718,373
719,691
720,531
721,460
722,32
723,122
724,356
725,791
726,677
727,898
728,887
729,526
730,76
731,420
732,668
733,105
734,945
735,461
736,572
737,978
738,347
739,549
740,686
741,212
742,579
743,690
744,295
745,351
746,395
747,164
748,128
749,751
750,899
751,949
752,704
753,957
754,413
755,185
756,853
757,786
758,181
759,104
760,798
761,796
762,468
763,994
764,602
765,315
766,412
767,430
768,365
769,614
770,669
771,807
772,387
773,328
774,545
775,781
776,711
777,151
778,218
779,338
780,761
781,653
782,418
783,486
784,903
785,210
786,339
787,286
788,242
789,57
790,980
791,650
792,394
793,30
794,652
795,999
796,299
797,907
798,123
799,896
800,464
801,947
802,447
803,846
804,382
805,337
806,717
807,763
808,864
809,685
810,529
811,15
812,280
813,29
814,790
815,100
816,205
817,917
818,597
819,548
820,692
821,120
822,836
823,440
824,609
825,517
826,194
827,740
828,959
829,60
830,787
831,872
832,282
833,615
834,620
835,683
836,346
837,955
838,655
839,348
840,265
841,53
842,17
843,936
844,974
845,811
846,501
847,66
848,625
849,178
850,48
851,875
852,329
853,160
854,504
855,70
856,298
857,433
858,88
859,613
860,165
861,96
862,79
863,676
864,220
865,89
866,885
867,722
868,38
869,190
870,411
871,805
872,434
873,64
874,149
875,424
876,110
877,475
878,765
879,564
880,8
881,158
882,28
883,944
884,284
885,574
886,40
887,294
888,154
889,487
890,658
891,588
892,948
893,831
894,728
895,739
896,644
897,635
898,111
899,404
900,132
901,871
902,544
903,87
904,928
905,919
906,81
907,155
908,93
909,80
910,290
911,982
912,760
913,453
914,268
915,386
916,26
917,965
918,257
919,835
920,538
921,775
922,455
923,624
924,554
925,973
926,862
927,770
928,266
929,4
930,672
931,581
932,801
933,623
934,884
935,673
936,271
937,371
938,857
939,456
940,234
941,886
942,198
943,792
944,534
945,240
946,682
947,101
948,699
949,997
950,732
951,177
952,58
953,600
954,757
955,129
956,143
957,533
958,146
959,520
960,483
961,877
962,716
963,161
964,22
965,99
966,643
967,497
968,587
969,985
970,970
971,402
972,134
973,192
974,987
975,935
976,562
977,847
978,281
979,67
980,741
981,832
982,9
983,422
984,451
985,159
986,361
987,681
988,435
989,200
990,725
991,734
992,629
993,261
994,245
995,415
996,745
997,845
998,671
999,601
1000,823
