user_id,time_id,reg_id
1,1,506
1,2,506
1,3,506
1,4,566
1,5,506
1,6,506
1,7,506
1,8,506
1,9,506
1,10,108
1,11,506
1,12,909
1,13,506
1,14,506
1,15,506
1,16,506
1,17,506
1,18,506
1,19,506
1,20,506
1,21,506
1,22,506
1,23,506
1,24,506
1,25,506
1,26,506
1,27,506
1,28,506
1,29,506
1,30,506
1,31,602
1,32,506
1,33,506
1,34,506
1,35,506
2,1,602
2,2,602
2,3,602
2,4,602
2,5,602
2,6,602
2,7,602
2,8,602
2,9,602
2,10,602
2,11,602
2,12,602
2,13,602
2,14,602
2,15,602
2,16,602
2,17,602
2,18,602
2,19,602
2,20,602
2,21,602
2,22,602
2,23,602
2,24,602
2,25,602
2,26,602
2,27,602
2,28,602
2,29,602
2,30,602
2,31,602
2,32,602
2,33,602
2,34,602
2,35,602
3,1,506
3,2,479
3,3,479
3,4,506
3,5,479
3,6,479
3,7,506
3,8,479
3,9,479
3,10,479
3,11,504
3,12,479
3,13,479
3,14,479
3,15,479
3,16,535
3,17,479
3,18,596
3,19,479
3,20,479
3,21,479
3,22,421
3,23,479
3,24,479
3,25,479
3,26,479
3,27,479
3,28,479
3,29,479
3,30,479
3,31,479
3,32,479
3,33,506
3,34,479
3,35,506
4,1,542
4,2,542
4,3,542
4,4,542
4,5,542
4,6,542
4,7,542
4,8,533
4,9,542
4,10,542
4,11,542
4,12,542
4,13,542
4,14,542
4,15,542
4,16,385
4,17,542
4,18,542
4,19,542
4,20,542
4,21,542
4,22,542
4,23,777
4,24,777
4,25,542
4,26,777
4,27,542
4,28,542
4,29,777
4,30,542
4,31,542
4,32,777
4,33,777
4,34,542
4,35,542
5,1,695
5,2,695
5,3,695
5,4,695
5,5,695
5,6,695
5,7,695
5,8,695
5,9,695
5,10,695
5,11,695
5,12,598
5,13,695
5,14,695
5,15,695
5,16,695
5,17,695
5,18,695
5,19,561
5,20,528
5,21,695
5,22,695
5,23,695
5,24,695
5,25,695
5,26,695
5,27,695
5,28,695
5,29,695
5,30,695
5,31,695
5,32,695
5,33,695
5,34,695
5,35,695
6,1,156
6,2,756
6,3,756
6,4,756
6,5,756
6,6,756
6,7,257
6,8,756
6,9,756
6,10,756
6,11,756
6,12,409
6,13,756
6,14,756
6,15,756
6,16,17
6,17,756
6,18,756
6,19,756
6,20,756
6,21,756
6,22,756
6,23,756
6,24,756
6,25,756
6,26,756
6,27,756
6,28,756
6,29,756
6,30,756
6,31,5
6,32,756
6,33,756
6,34,756
6,35,756
7,1,71
7,2,71
7,3,71
7,4,71
7,5,71
7,6,71
7,7,133
7,8,133
7,9,71
7,10,264
7,11,71
7,12,71
7,13,513
7,14,71
7,15,71
7,16,71
7,17,71
7,18,71
7,19,71
7,20,71
7,21,71
7,22,71
7,23,71
7,24,71
7,25,921
7,26,71
7,27,391
7,28,71
7,29,71
7,30,133
7,31,71
7,32,99
7,33,99
7,34,71
7,35,917
8,1,35
8,2,35
8,3,35
8,4,35
8,5,35
8,6,35
8,7,35
8,8,35
8,9,535
8,10,35
8,11,530
8,12,35
8,13,35
8,14,35
8,15,35
8,16,35
8,17,809
8,18,35
8,19,35
8,20,143
8,21,35
8,22,35
8,23,35
8,24,35
8,25,35
8,26,35
8,27,35
8,28,35
8,29,35
8,30,738
8,31,35
8,32,35
8,33,35
8,34,35
8,35,35
9,1,842
9,2,842
9,3,842
9,4,71
9,5,842
9,6,842
9,7,71
9,8,842
9,9,842
9,10,842
9,11,71
9,12,842
9,13,842
9,14,842
9,15,137
9,16,842
9,17,842
9,18,842
9,19,842
9,20,137
9,21,842
9,22,842
9,23,842
9,24,842
9,25,842
9,26,842
9,27,649
9,28,838
9,29,842
9,30,842
9,31,842
9,32,838
9,33,842
9,34,842
9,35,842
10,1,506
10,2,506
10,3,506
10,4,506
10,5,255
10,6,506
10,7,506
10,8,506
10,9,506
10,10,506
10,11,506
10,12,506
10,13,506
10,14,506
10,15,506
10,16,506
10,17,506
10,18,506
10,19,506
10,20,506
10,21,506
10,22,506
10,23,530
10,24,530
10,25,506
10,26,530
10,27,530
10,28,467
10,29,242
10,30,506
10,31,506
10,32,506
10,33,506
10,34,506
10,35,506
11,1,389
11,2,389
11,3,389
11,4,181
11,5,452
11,6,389
11,7,389
11,8,389
11,9,529
11,10,389
11,11,389
11,12,389
11,13,389
11,14,475
11,15,475
11,16,389
11,17,478
11,18,478
11,19,389
11,20,389
11,21,525
11,22,389
11,23,389
11,24,389
11,25,389
11,26,389
11,27,389
11,28,389
11,29,425
11,30,389
11,31,389
11,32,389
11,33,425
11,34,389
11,35,238
12,1,535
12,2,535
12,3,535
12,4,535
12,5,535
12,6,535
12,7,535
12,8,535
12,9,535
12,10,535
12,11,535
12,12,535
12,13,535
12,14,535
12,15,535
12,16,535
12,17,433
12,18,535
12,19,535
12,20,535
12,21,535
12,22,535
12,23,535
12,24,535
12,25,535
12,26,535
12,27,535
12,28,602
12,29,535
12,30,309
12,31,309
12,32,535
12,33,535
12,34,535
12,35,535
13,1,670
13,2,670
13,3,670
13,4,670
13,5,670
13,6,670
13,7,670
13,8,670
13,9,670
13,10,670
13,11,670
13,12,670
13,13,670
13,14,670
13,15,670
13,16,670
13,17,670
13,18,670
13,19,670
13,20,789
13,21,693
13,22,670
13,23,670
13,24,670
13,25,405
13,26,670
13,27,670
13,28,670
13,29,670
13,30,670
13,31,670
13,32,670
13,33,670
13,34,670
13,35,670
14,1,422
14,2,422
14,3,422
14,4,422
14,5,422
14,6,422
14,7,166
14,8,422
14,9,422
14,10,422
14,11,422
14,12,422
14,13,422
14,14,170
14,15,422
14,16,422
14,17,422
14,18,422
14,19,422
14,20,422
14,21,422
14,22,422
14,23,422
14,24,422
14,25,422
14,26,422
14,27,422
14,28,513
14,29,422
14,30,422
14,31,422
14,32,422
14,33,422
14,34,422
14,35,422
15,1,422
15,2,766
15,3,422
15,4,422
15,5,422
15,6,853
15,7,785
15,8,785
15,9,719
15,10,422
15,11,422
15,12,422
15,13,422
15,14,422
15,15,422
15,16,422
15,17,477
15,18,422
15,19,422
15,20,422
15,21,422
15,22,422
15,23,422
15,24,422
15,25,422
15,26,422
15,27,422
15,28,422
15,29,422
15,30,429
15,31,433
15,32,422
15,33,433
15,34,470
15,35,422
16,1,478
16,2,478
16,3,478
16,4,237
16,5,478
16,6,270
16,7,478
16,8,145
16,9,478
16,10,145
16,11,478
16,12,478
16,13,478
16,14,478
16,15,478
16,16,478
16,17,478
16,18,478
16,19,478
16,20,149
16,21,478
16,22,478
16,23,478
16,24,410
16,25,478
16,26,478
16,27,478
16,28,478
16,29,478
16,30,313
16,31,478
16,32,478
16,33,478
16,34,478
16,35,478
17,1,428
17,2,428
17,3,428
17,4,428
17,5,428
17,6,428
17,7,428
17,8,428
17,9,428
17,10,428
17,11,428
17,12,428
17,13,428
17,14,275
17,15,428
17,16,428
17,17,913
17,18,497
17,19,464
17,20,428
17,21,428
17,22,428
17,23,428
17,24,428
17,25,428
17,26,428
17,27,428
17,28,428
17,29,405
17,30,428
17,31,428
17,32,428
17,33,464
17,34,428
17,35,428
18,1,389
18,2,389
18,3,389
18,4,280
18,5,389
18,6,389
