user_id,time_id,reg_id
1,1,734
1,2,1008
1,3,308
1,4,759
1,5,1009
1,6,643
1,7,505
1,8,692
1,9,157
1,10,141
1,11,238
1,12,852
1,13,646
1,14,104
1,15,451
1,16,440
1,17,765
1,18,388
1,19,159
1,20,684
1,21,969
1,22,933
1,23,209
1,24,551
1,25,629
1,26,488
1,27,45
1,28,523
1,29,476
1,30,905
1,31,916
1,32,921
1,33,123
1,34,188
1,35,251
2,1,945
2,2,211
2,3,52
2,4,260
2,5,554
2,6,460
2,7,970
2,8,284
2,9,408
2,10,167
2,11,351
2,12,361
2,13,344
2,14,20
2,15,158
2,16,778
2,17,174
2,18,621
2,19,122
2,20,165
2,21,176
2,22,471
2,23,980
2,24,138
2,25,495
2,26,860
2,27,657
2,28,818
2,29,538
2,30,840
2,31,172
2,32,406
2,33,603
2,34,430
2,35,127
3,1,571
3,2,396
3,3,704
3,4,698
3,5,187
3,6,783
3,7,169
3,8,332
3,9,892
3,10,586
3,11,262
3,12,947
3,13,676
3,14,567
3,15,1018
3,16,866
3,17,694
3,18,83
3,19,374
3,20,515
3,21,633
3,22,656
3,23,743
3,24,933
3,25,582
3,26,1004
3,27,115
3,28,477
3,29,104
3,30,761
3,31,827
3,32,536
3,33,443
3,34,68
3,35,579
4,1,1019
4,2,180
4,3,895
4,4,509
4,5,192
4,6,227
4,7,526
4,8,800
4,9,105
4,10,782
4,11,446
4,12,516
4,13,223
4,14,997
4,15,344
4,16,620
4,17,2
4,18,560
4,19,955
4,20,489
4,21,87
4,22,630
4,23,644
4,24,773
4,25,361
4,26,794
4,27,10
4,28,913
4,29,64
4,30,477
4,31,55
4,32,153
4,33,147
4,34,52
4,35,251
5,1,636
5,2,483
5,3,332
5,4,266
5,5,991
5,6,862
5,7,690
5,8,465
5,9,957
5,10,634
5,11,170
5,12,490
5,13,420
5,14,93
5,15,316
5,16,899
5,17,241
5,18,921
5,19,837
5,20,410
5,21,960
5,22,934
5,23,421
5,24,515
5,25,663
5,26,916
5,27,881
5,28,24
5,29,690
5,30,637
5,31,720
5,32,770
5,33,612
5,34,417
5,35,1020
6,1,941
6,2,231
6,3,960
6,4,771
6,5,343
6,6,487
6,7,271
6,8,899
6,9,420
6,10,760
6,11,64
6,12,30
6,13,888
6,14,534
6,15,499
6,16,854
6,17,275
6,18,1019
6,19,801
6,20,923
6,21,933
6,22,990
6,23,105
6,24,189
6,25,614
6,26,328
6,27,188
6,28,814
6,29,669
6,30,643
6,31,827
6,32,251
6,33,545
6,34,423
6,35,549
7,1,578
7,2,1008
7,3,987
7,4,116
7,5,372
7,6,256
7,7,458
7,8,129
7,9,524
7,10,887
