user_id,time_id,reg_id
1,1,278
1,2,355
1,3,765
1,4,977
1,5,528
1,6,980
1,7,744
1,8,203
1,9,478
1,10,453
1,11,524
1,12,26
1,13,774
1,14,205
1,15,159
1,16,877
1,17,704
1,18,843
1,19,688
1,20,10
1,21,672
1,22,463
1,23,690
1,24,318
1,25,10
1,26,541
1,27,598
1,28,959
1,29,95
1,30,522
1,31,190
1,32,719
1,33,873
1,34,172
1,35,92
2,1,700
2,2,270
2,3,600
2,4,269
2,5,317
2,6,900
2,7,749
2,8,611
2,9,602
2,10,585
2,11,68
2,12,687
2,13,703
2,14,107
2,15,518
2,16,639
2,17,295
2,18,539
2,19,105
2,20,765
2,21,805
2,22,284
2,23,67
2,24,372
2,25,51
2,26,571
2,27,774
2,28,86
2,29,420
2,30,736
2,31,54
2,32,807
2,33,618
2,34,921
2,35,746
3,1,578
3,2,443
3,3,708
3,4,10
3,5,662
3,6,149
3,7,90
3,8,911
3,9,689
3,10,631
3,11,13
3,12,54
3,13,396
3,14,783
3,15,619
3,16,447
3,17,162
3,18,910
3,19,591
3,20,688
3,21,817
3,22,580
3,23,860
3,24,454
3,25,134
3,26,638
3,27,999
3,28,323
3,29,812
3,30,677
3,31,508
3,32,103
3,33,851
3,34,406
3,35,791
4,1,845
4,2,616
4,3,477
4,4,511
4,5,951
4,6,118
4,7,583
4,8,634
4,9,925
4,10,236
4,11,713
4,12,323
4,13,340
4,14,34
4,15,300
4,16,296
4,17,276
4,18,539
4,19,708
4,20,484
4,21,515
4,22,60
4,23,685
4,24,455
4,25,193
4,26,869
4,27,556
4,28,1024
4,29,29
4,30,502
4,31,273
4,32,875
4,33,120
4,34,542
4,35,423
5,1,800
5,2,420
5,3,486
5,4,579
5,5,892
5,6,751
5,7,138
5,8,143
5,9,244
5,10,283
5,11,205
5,12,528
5,13,695
5,14,527
5,15,254
5,16,888
5,17,391
5,18,313
5,19,774
5,20,358
5,21,157
5,22,781
5,23,351
5,24,58
5,25,356
5,26,220
5,27,839
5,28,646
5,29,847
5,30,638
5,31,628
5,32,68
5,33,545
5,34,711
5,35,106
6,1,234
6,2,254
6,3,930
6,4,109
6,5,665
6,6,491
6,7,413
6,8,827
6,9,101
6,10,732
6,11,667
6,12,188
6,13,904
6,14,883
6,15,153
6,16,786
6,17,893
6,18,173
6,19,374
6,20,872
6,21,81
6,22,730
6,23,352
6,24,756
6,25,812
6,26,692
6,27,395
6,28,639
6,29,95
6,30,712
6,31,44
6,32,1022
6,33,126
6,34,156
6,35,308
7,1,264
7,2,216
7,3,945
7,4,354
7,5,86
7,6,498
7,7,894
7,8,588
7,9,923
7,10,378
7,11,167
7,12,248
7,13,663
7,14,911
7,15,3
7,16,13
7,17,952
7,18,445
7,19,525
7,20,204
7,21,698
7,22,172
7,23,776
7,24,189
7,25,345
7,26,329
7,27,131
7,28,316
7,29,795
7,30,925
7,31,83
7,32,862
7,33,243
7,34,225
7,35,741
8,1,1021
8,2,726
8,3,610
8,4,196
8,5,1017
8,6,369
8,7,233
8,8,233
8,9,719
8,10,763
8,11,918
8,12,951
8,13,194
8,14,383
8,15,585
8,16,69
8,17,273
8,18,39
8,19,875
8,20,659
8,21,163
8,22,931
8,23,479
8,24,35
8,25,871
8,26,35
8,27,313
8,28,993
8,29,94
8,30,93
8,31,723
8,32,483
8,33,92
8,34,675
8,35,122
9,1,871
9,2,1000
9,3,315
9,4,68
9,5,552
9,6,567
9,7,426
9,8,774
9,9,474
9,10,40
9,11,395
9,12,420
9,13,903
9,14,873
9,15,313
9,16,697
9,17,980
9,18,358
9,19,663
9,20,173
9,21,475
9,22,263
9,23,988
9,24,695
9,25,853
9,26,717
9,27,1012
9,28,888
9,29,784
9,30,752
9,31,684
9,32,444
9,33,89
9,34,398
9,35,935
10,1,795
10,2,481
10,3,907
10,4,244
10,5,277
10,6,16
10,7,916
10,8,638
10,9,734
10,10,490
10,11,547
10,12,338
10,13,789
10,14,761
10,15,701
10,16,983
10,17,775
10,18,1001
10,19,582
10,20,614
10,21,636
10,22,298
10,23,408
10,24,796
10,25,712
10,26,31
10,27,106
10,28,687
10,29,523
10,30,152
10,31,6
10,32,606
10,33,4
10,34,176
10,35,489
11,1,309
11,2,649
11,3,265
11,4,16
11,5,511
11,6,94
11,7,312
11,8,367
11,9,389
11,10,354
11,11,936
11,12,450
11,13,482
11,14,519
11,15,595
11,16,902
11,17,567
11,18,404
11,19,413
11,20,868
11,21,400
11,22,999
11,23,373
11,24,883
11,25,259
11,26,141
11,27,579
11,28,251
11,29,893
11,30,463
11,31,531
11,32,238
11,33,172
11,34,111
11,35,134
12,1,727
12,2,421
12,3,91
12,4,528
12,5,792
12,6,938
12,7,947
12,8,978
12,9,482
12,10,166
12,11,73
12,12,151
12,13,543
12,14,978
12,15,377
12,16,76
12,17,734
12,18,87
12,19,516
12,20,698
12,21,949
12,22,485
12,23,915
12,24,719
12,25,342
12,26,685
12,27,427
12,28,203
12,29,883
12,30,535
12,31,679
12,32,984
12,33,597
12,34,899
12,35,475
13,1,95
13,2,402
13,3,378
13,4,775
13,5,264
13,6,533
13,7,48
13,8,339
13,9,438
13,10,756
13,11,773
13,12,92
13,13,17
13,14,309
13,15,134
13,16,648
13,17,913
13,18,66
13,19,583
13,20,364
13,21,281
13,22,151
13,23,128
13,24,399
13,25,826
13,26,188
13,27,295
13,28,871
13,29,245
13,30,216
13,31,386
13,32,583
13,33,486
13,34,985
13,35,35
14,1,735
14,2,927
14,3,379
14,4,216
14,5,133
14,6,75
14,7,823
14,8,104
14,9,231
14,10,830
14,11,282
14,12,1006
14,13,234
14,14,522
14,15,285
14,16,928
14,17,342
14,18,414
14,19,499
14,20,959
14,21,166
14,22,719
14,23,907
14,24,169
14,25,509
14,26,298
14,27,873
14,28,549
14,29,691
14,30,434
14,31,624
14,32,259
14,33,422
14,34,568
14,35,282
15,1,662
15,2,872
15,3,290
15,4,923
15,5,681
15,6,72
15,7,523
15,8,727
15,9,691
15,10,870
15,11,776
15,12,668
15,13,894
15,14,879
15,15,921
15,16,919
15,17,447
15,18,515
15,19,766
15,20,588
15,21,331
15,22,487
15,23,566
15,24,646
15,25,430
15,26,775
15,27,264
15,28,790
15,29,643
15,30,164
15,31,380
15,32,102
15,33,7
15,34,735
15,35,710
16,1,505
16,2,47
16,3,16
16,4,434
16,5,351
16,6,998
16,7,127
16,8,995
16,9,774
16,10,835
16,11,629
16,12,668
16,13,461
16,14,380
16,15,326
16,16,477
16,17,734
16,18,451
16,19,439
16,20,94
16,21,478
