user_id,time_id,reg_id
1,1,32
1,2,1024
1,3,1024
1,4,1024
1,5,16
1,6,32
1,7,32
1,8,64
1,9,20
1,10,1
1,11,32
1,12,6
1,13,32
1,14,993
1,15,999
1,16,993
1,17,993
1,18,65
1,19,768
1,20,1
1,21,32
1,22,841
1,23,1024
1,24,993
1,25,1024
1,26,1024
1,27,28
1,28,321
1,29,544
1,30,688
1,31,5
1,32,1024
1,33,1
1,34,128
1,35,993
2,1,733
2,2,993
2,3,769
2,4,24
2,5,1
2,6,1
2,7,1024
2,8,1
2,9,192
2,10,32
2,11,1024
2,12,12
2,13,864
2,14,32
2,15,321
2,16,1
2,17,7
2,18,1024
2,19,1001
2,20,32
2,21,32
2,22,999
2,23,32
2,24,1
2,25,46
2,26,1
2,27,32
2,28,32
2,29,1023
2,30,161
2,31,257
2,32,32
2,33,993
2,34,1
2,35,1
3,1,1
3,2,417
3,3,993
3,4,32
3,5,26
3,6,504
3,7,673
3,8,1
3,9,32
3,10,13
3,11,65
3,12,928
3,13,1
3,14,577
3,15,1
3,16,32
3,17,320
3,18,644
3,19,791
3,20,481
3,21,24
3,22,32
3,23,32
3,24,1
3,25,928
3,26,929
3,27,993
3,28,872
3,29,6
3,30,701
3,31,993
3,32,19
3,33,864
3,34,97
3,35,19
4,1,847
4,2,32
4,3,32
4,4,32
4,5,737
4,6,1024
4,7,520
4,8,1024
4,9,1024
4,10,1
4,11,1024
4,12,1002
4,13,999
4,14,1
4,15,251
4,16,1024
4,17,263
4,18,1024
4,19,993
4,20,993
4,21,1024
4,22,1
4,23,996
4,24,1
4,25,1
4,26,993
4,27,32
4,28,1
4,29,993
4,30,993
4,31,1004
4,32,993
4,33,1024
4,34,993
4,35,1019
5,1,928
5,2,32
5,3,993
5,4,32
5,5,6
5,6,411
5,7,21
5,8,1024
5,9,32
5,10,257
5,11,16
5,12,1002
5,13,599
5,14,32
5,15,1
5,16,18
5,17,31
5,18,1005
5,19,32
5,20,544
5,21,425
5,22,32
5,23,1016
5,24,961
5,25,18
5,26,289
5,27,993
5,28,594
5,29,161
5,30,864
5,31,1013
5,32,13
5,33,1011
5,34,176
5,35,193
6,1,640
6,2,128
6,3,856
6,4,257
6,5,1011
6,6,32
6,7,22
6,8,13
6,9,1
6,10,29
6,11,993
6,12,1011
6,13,1024
6,14,20
6,15,129
6,16,993
