user_id,time_id,reg_id
1,1,687
1,2,655
1,3,812
1,4,813
1,5,852
1,6,823
1,7,850
1,8,791
1,9,858
1,10,886
1,11,918
1,12,949
1,13,818
1,14,815
1,15,782
1,16,539
1,17,534
1,18,660
1,19,471
1,20,533
1,21,535
1,22,568
1,23,536
1,24,471
1,25,241
1,26,275
1,27,367
1,28,239
1,29,141
1,30,68
1,31,1
1,32,303
1,33,225
1,34,162
1,35,171
2,1,768
2,2,544
2,3,1
2,4,66
2,5,392
2,6,263
2,7,703
2,8,736
2,9,698
2,10,638
2,11,700
2,12,574
2,13,636
2,14,635
2,15,667
2,16,730
2,17,667
2,18,634
2,19,760
2,20,532
2,21,534
2,22,437
2,23,212
2,24,212
2,25,80
2,26,18
2,27,412
2,28,536
2,29,506
2,30,502
2,31,345
2,32,310
2,33,312
2,34,344
2,35,405
3,1,674
3,2,587
3,3,567
3,4,572
3,5,604
3,6,530
3,7,559
3,8,684
3,9,495
3,10,503
3,11,473
3,12,504
3,13,508
3,14,509
3,15,476
3,16,475
3,17,412
3,18,444
3,19,475
3,20,443
3,21,416
3,22,476
3,23,469
3,24,20
3,25,85
3,26,252
3,27,675
3,28,508
3,29,467
3,30,596
3,31,554
3,32,651
3,33,646
3,34,646
3,35,539
4,1,1006
4,2,652
4,3,589
4,4,626
4,5,599
4,6,662
4,7,633
4,8,476
4,9,569
4,10,635
4,11,478
4,12,575
4,13,624
4,14,279
4,15,157
4,16,278
4,17,244
4,18,93
4,19,369
4,20,649
4,21,907
4,22,512
4,23,541
4,24,541
4,25,702
4,26,536
4,27,535
4,28,540
4,29,572
4,30,473
4,31,509
4,32,572
4,33,574
4,34,636
4,35,480
5,1,601
5,2,413
5,3,636
5,4,862
5,5,330
5,6,204
5,7,204
5,8,267
5,9,334
5,10,300
5,11,298
5,12,268
5,13,106
5,14,368
5,15,333
5,16,927
5,17,572
5,18,308
5,19,238
5,20,171
5,21,539
5,22,602
5,23,572
5,24,544
5,25,281
5,26,635
5,27,635
5,28,986
5,29,633
5,30,634
5,31,501
5,32,697
5,33,669
5,34,666
5,35,69
6,1,493
6,2,463
6,3,431
6,4,359
6,5,388
6,6,386
6,7,324
6,8,505
6,9,147
6,10,305
6,11,272
6,12,270
6,13,236
6,14,170
6,15,133
6,16,2
6,17,157
6,18,158
6,19,157
6,20,219
6,21,30
6,22,159
6,23,64
6,24,160
6,25,95
6,26,60
6,27,31
6,28,93
6,29,156
6,30,220
6,31,84
6,32,113
6,33,336
6,34,361
6,35,455
7,1,719
7,2,533
7,3,565
7,4,387
7,5,463
7,6,440
7,7,531
7,8,460
7,9,65
7,10,6
7,11,102
7,12,41
